,S i s t e m / P e r i o d e,S e r i / K a l a,M a s a / U s i a,P e n a n g g a l a n   m u t l a k   ( M a ),P e n a n g g a l a n   m u t l a k   ( M a ) . 1
0,Kuarter,Pleistosen,Gelasium,younger,younger
1,Neogen,Pliosen,Piacenzium,2.58,3.600
2,Neogen,Pliosen,Zankleum,3.600,5.333
3,Neogen,Miosen,Messinium,5.333,7.246
4,Neogen,Miosen,Tortonium,7.246,11.63
5,Neogen,Miosen,Serravalium,11.63,13.82
6,Neogen,Miosen,Langhium,13.82,15.97
7,Neogen,Miosen,Burdigalium,15.97,20.44
8,Neogen,Miosen,Aquitanium,20.44,23.03
9,Paleogen,Oligosen,Chattium,older,older
10,"Subdivisi Periode Neogen menurut ICS, pada Januari 2017.[1]","Subdivisi Periode Neogen menurut ICS, pada Januari 2017.[1]","Subdivisi Periode Neogen menurut ICS, pada Januari 2017.[1]","Subdivisi Periode Neogen menurut ICS, pada Januari 2017.[1]","Subdivisi Periode Neogen menurut ICS, pada Januari 2017.[1]"
