,P e r u s a h a a n,K e p e m i l i k a n,B e r d i r i,U s a h a,K e t e r a n g a n
0,"MUFG Bank, Ltd.","100,0%",1919,"Perbankan (komersial, korporasi)",MUFG Bank adalah entitas perbankan komersial dan entitas terbesar di dalam MUFG.
1,Mitsubishi UFJ Trust and Banking (MUTB),"100,0%",1927,Wali amanat (trust),"MUTB adalah salah satu bank wali amanat terbesar di Jepang dengan lini bisnis di antaranya manajemen aset, layanan investor, dan bisnis real estat.[40]"
2,Mitsubishi UFJ Securities Holdings (MUSHD),"100,0%",1948,Sekuritas,"MUSH adalah perusahaan induk untuk anak-anak usaha MUFG dalam bidang sekuritas. Melalui aliansinya dengan Morgan Stanley, MUSHD juga mengepalai unit-unit bisnis kerja sama antara MUFG dengan Morgan Stanley.[41]"
3,Mitsubishi UFJ Morgan Stanley Securities,"60,0% (melalui MUSHD)",2009,Sekuritas,
4,Morgan Stanley MUFG Securities,"49,0% (melalui MUSHD)",1996,Sekuritas,
5,Mitsubishi UFJ Lease and Finance,"23,3%",1971,Leasing,
6,MUFG Americas Holdings Corporation,"95,1% (melalui MUFG Bank)",1953,"Perbankan (komersial, korporasi)",MUFG Americas Holdings adalah induk usaha dari MUFG untuk bisnis perbankannya di Amerika Serikat.
7,Bank of Ayudhya PCL (Krungsri),"76,8% (melalui MUFG Bank)",1945,"Perbankan (komersial, korporasi)",Bank of Ayudhya (Krungsri) adalah salah satu bank terbesar di Thailand.[24]
8,Morgan Stanley,"24,3% (aliansi strategis)",1935,Investment banking,Morgan Stanley mendapatkan investasi melalui pembelian saham sebesar AS$ 9 miliar di tengah Krisis Finansial Global tahun 2008.
9,Bank Danamon Indonesia,"94,10% (melalui MUFG Bank)",1956,Perbankan ritel,MUFG Bank melalukan investasi strategis di Bank Danamon Indonesia yang diumumkan pada Desember 2017.[34][35]
10,Mitsubishi UFJ Nicos,"100,0%",1951,Kartu kredit,
11,ACOM,"40,1% (melalui Mitsubishi UFJ Nicos)",1978,Pembiayaan konsumen,
