,N o .,F o t o,N a m a ( l a h i r – m e n i n g g a l ) W a n g s a,B e r k u a s a   d i P e r s e m a k m u r a n   A u s t r a l i a,B e r k u a s a   d i P e r s e m a k m u r a n   A u s t r a l i a . 1,N a m a   p a n j a n g,P a s a n g a n
0,1,,Victoria(1819–1901)Wangsa Hannover,1 Januari 1901,22 Januari 1901,Alexandrina Victoria,"""tidak ada selama berkuasa di Australia"""
1,1,,Victoria(1819–1901)Wangsa Hannover,"Gubernur Jenderal: John Hope, 7th Earl of HopetounPerdana Menteri: Edmund Barton","Gubernur Jenderal: John Hope, 7th Earl of HopetounPerdana Menteri: Edmund Barton","Gubernur Jenderal: John Hope, 7th Earl of HopetounPerdana Menteri: Edmund Barton","Gubernur Jenderal: John Hope, 7th Earl of HopetounPerdana Menteri: Edmund Barton"
2,2,,Edward VII(1841–1910)Wangsa Saxe-Coburg dan Gotha,22 Januari 1901,6 Mei 1910,Albert Edward,Alexandra dari Denmark
3,2,,Edward VII(1841–1910)Wangsa Saxe-Coburg dan Gotha,"Gubernur Jenderal: John Hope, 7th Earl of Hopetoun, Hallam Tennyson, 2nd Baron Tennyson, Henry Northcote, 1st Baron Northcote, William Ward, 2nd Earl of DudleyPerdana Menteri: Sir Edmund Barton, Alfred Deakin, Chris Watson, George Reid, Alfred Deakin, Andrew Fisher, Alfred Deakin","Gubernur Jenderal: John Hope, 7th Earl of Hopetoun, Hallam Tennyson, 2nd Baron Tennyson, Henry Northcote, 1st Baron Northcote, William Ward, 2nd Earl of DudleyPerdana Menteri: Sir Edmund Barton, Alfred Deakin, Chris Watson, George Reid, Alfred Deakin, Andrew Fisher, Alfred Deakin","Gubernur Jenderal: John Hope, 7th Earl of Hopetoun, Hallam Tennyson, 2nd Baron Tennyson, Henry Northcote, 1st Baron Northcote, William Ward, 2nd Earl of DudleyPerdana Menteri: Sir Edmund Barton, Alfred Deakin, Chris Watson, George Reid, Alfred Deakin, Andrew Fisher, Alfred Deakin","Gubernur Jenderal: John Hope, 7th Earl of Hopetoun, Hallam Tennyson, 2nd Baron Tennyson, Henry Northcote, 1st Baron Northcote, William Ward, 2nd Earl of DudleyPerdana Menteri: Sir Edmund Barton, Alfred Deakin, Chris Watson, George Reid, Alfred Deakin, Andrew Fisher, Alfred Deakin"
4,3,,George V(1865–1936)Wangsa Saxe-Coburg dan Gotha sampai 1917Wangsa Windsor after 1917,6 Mei 1910,20 Januari 1936,George Frederick Ernest Albert,Mary dari Teck
5,3,,George V(1865–1936)Wangsa Saxe-Coburg dan Gotha sampai 1917Wangsa Windsor after 1917,"Gubernur Jenderal:William Ward, 2nd Earl of Dudley, Thomas Denman, 3rd Baron Denman, Sir Ronald Ferguson, Henry Forster, 1st Baron Forster, John Baird, 1st Baron Stonehaven. Sir Isaac IsaacsPerdana Menteri: Andrew Fisher, Joseph Cook, Andrew Fisher, Billy Hughes, Stanley Bruce, James Scullin, Joseph Lyons","Gubernur Jenderal:William Ward, 2nd Earl of Dudley, Thomas Denman, 3rd Baron Denman, Sir Ronald Ferguson, Henry Forster, 1st Baron Forster, John Baird, 1st Baron Stonehaven. Sir Isaac IsaacsPerdana Menteri: Andrew Fisher, Joseph Cook, Andrew Fisher, Billy Hughes, Stanley Bruce, James Scullin, Joseph Lyons","Gubernur Jenderal:William Ward, 2nd Earl of Dudley, Thomas Denman, 3rd Baron Denman, Sir Ronald Ferguson, Henry Forster, 1st Baron Forster, John Baird, 1st Baron Stonehaven. Sir Isaac IsaacsPerdana Menteri: Andrew Fisher, Joseph Cook, Andrew Fisher, Billy Hughes, Stanley Bruce, James Scullin, Joseph Lyons","Gubernur Jenderal:William Ward, 2nd Earl of Dudley, Thomas Denman, 3rd Baron Denman, Sir Ronald Ferguson, Henry Forster, 1st Baron Forster, John Baird, 1st Baron Stonehaven. Sir Isaac IsaacsPerdana Menteri: Andrew Fisher, Joseph Cook, Andrew Fisher, Billy Hughes, Stanley Bruce, James Scullin, Joseph Lyons"
6,4,,Edward VIII(1894–1972)Wangsa Windsor,20 Januari 1936,11 Desember 1936,Edward Albert Christian George Andrew Patrick David,"""tiada"
7,4,,Edward VIII(1894–1972)Wangsa Windsor,"Gubernur Jenderal: Sir Isaac Alfred Isaacs, Alexander Hore-Ruthven, 1st Earl of GowriePerdana Menteri: Joseph Lyons","Gubernur Jenderal: Sir Isaac Alfred Isaacs, Alexander Hore-Ruthven, 1st Earl of GowriePerdana Menteri: Joseph Lyons","Gubernur Jenderal: Sir Isaac Alfred Isaacs, Alexander Hore-Ruthven, 1st Earl of GowriePerdana Menteri: Joseph Lyons","Gubernur Jenderal: Sir Isaac Alfred Isaacs, Alexander Hore-Ruthven, 1st Earl of GowriePerdana Menteri: Joseph Lyons"
8,5,,George VI(1895–1952)Wangsa Windsor,11 Desember 1936,6 Februari 1952,Albert Frederick Arthur George,Elizabeth Bowes-Lyon
9,5,,George VI(1895–1952)Wangsa Windsor,"Gubernur-jendral: Alexander Hore-Ruthven, 1st Earl of Gowrie, Prince Henry, Duke of Gloucester, Sir William McKellPerdana menteri: Joseph Lyons, Sir Earle Page, Robert Menzies, Arthur Fadden, John Curtin, Frank Forde, Ben Chifley, Sir Robert Menzies","Gubernur-jendral: Alexander Hore-Ruthven, 1st Earl of Gowrie, Prince Henry, Duke of Gloucester, Sir William McKellPerdana menteri: Joseph Lyons, Sir Earle Page, Robert Menzies, Arthur Fadden, John Curtin, Frank Forde, Ben Chifley, Sir Robert Menzies","Gubernur-jendral: Alexander Hore-Ruthven, 1st Earl of Gowrie, Prince Henry, Duke of Gloucester, Sir William McKellPerdana menteri: Joseph Lyons, Sir Earle Page, Robert Menzies, Arthur Fadden, John Curtin, Frank Forde, Ben Chifley, Sir Robert Menzies","Gubernur-jendral: Alexander Hore-Ruthven, 1st Earl of Gowrie, Prince Henry, Duke of Gloucester, Sir William McKellPerdana menteri: Joseph Lyons, Sir Earle Page, Robert Menzies, Arthur Fadden, John Curtin, Frank Forde, Ben Chifley, Sir Robert Menzies"
