,0,1,2,3,4,5,6,7,8
0,Kelompok Etnis,Bagian Dari Suku,1956,1963,1969,1979,1989,2000,2010[12]
1,Khalkh,Mongolic,639141,775376,911079,1235806,1610424,1934674,2168141
2,Kazakh,Turkic,36729,47735,62812,84305,120506,102983,101526
3,Dörbet,Mongolic,25667,31339,34725,45053,55208,66706,72403
4,Bayid,Mongolic,15874,19891,25479,31053,39233,50824,56573
5,Buryat,Mongolic,24625,28523,29772,29802,35444,40620,45087
6,Zakhchin,Mongolic,15772,14399,15662,18957,23478,25183,32845
7,Dariganga,Mongolic,16852,18587,20603,24564,29040,31909,27412
8,Altai Uriankhai,Mongolic,"10,833[13]",13140,15057,19475,22998,29766,26654
9,Darkhad,Mongolic,"10,833[13]",8826,10174,10716,14757,19019,21558
10,Khotogoid,Mongolic,...,...,...,...,...,7237,15460
11,Torguud,Mongolic,4729,6028,7119,8617,10050,12628,14176
12,Khotons,Mongolic,2603,2874,4056,4380,6076,9014,11304
13,Myangad,Mongolic,2518,2712,3222,4173,4760,6028,6592
14,Tuvan,Turkic,...,...,...,...,...,4778,5169
15,Barga,Mongolic,2458,2343,2305,1999,2130,2506,2989
16,Üzemchin,Mongolic,2046,2070,2127,2030,2086,2386,2577
17,Eljigin,Mongolic,...,...,...,...,...,151,1340
18,Sartuul,Mongolic,...,...,...,...,...,1540,1286
19,Hamnigan of Tungusic origin,Mongolic,...,...,...,...,...,565,537
20,Tsaatan,Mongolic,...,...,...,...,...,303,282
21,Chantuu,Mongolic,...,...,...,...,...,380,260
22,Kharchin,Mongolic,...,...,...,...,...,266,152
23,Chahar,Mongolic,...,...,...,...,...,123,132
24,(Huuchid)[a],Mongolic,...,...,...,...,...,...,...
25,(Baarin)[a],Mongolic,...,...,...,...,...,...,...
26,(Khorchin)[a],Mongolic,...,...,...,...,...,...,...
27,(Tümed)[a],Mongolic,...,...,...,...,...,...,...
28,Kebangsaan Russia,Kebangsaan Russia,13444,8905,1433,196,140,2020,2474
29,Kebangsaan China,Kebangsaan China,16157,21981,725,344,247,3374,8688
30,Kebangsaan Korea,Kebangsaan Korea,...,...,...,...,...,338,1522
31,Kebangsaan Amerika Serikat,Kebangsaan Amerika Serikat,...,...,...,...,...,303,656
32,Others,Others,11125,6819,35045,8653,1509,...,...
33,Mongolia,Mongolia,845481,1017162,1188271,1538980,1987274,2365269,2754685
