,T a h u n   p e n e m u a n,V i t a m i n,N a m a   b i o k i m i a,D i t e m u k a n   d i
0,1909,Vitamin A,Retinol,Wortel
1,1912,Vitamin B1,Tiamin,Susu
2,1912,Vitamin C,Asam askorbat,Jeruk sitrun
3,1918,Vitamin D,Kalsiferol,Keju
4,1920,Vitamin B2,Riboflavin,Telur
5,1922,Vitamin E,Tokoferol,Minyak mata bulir gandum
6,1926,Vitamin B12,Sianokobalamin,Telur
7,1929,Vitamin K,Filokuinona,Kuning telur
8,1931,Vitamin B5,Asam pantotenat,Susu
9,1931,Vitamin B7,Biotin,Hati
10,1934,Vitamin B6,Piridoksin,Kacang
11,1936,Vitamin B3,Niasin,Ragi
12,1941,Vitamin B9,Asam folat,Hati
