,N e g a r a,B e n u a / W i l a y a h,K a w a s a n,K e t e r a n g a n
0,Bahama,Amerika Utara,Atlantik Utara,Satu kepulauan
1,Fiji,Oseania,Melanesia,Satu kepulauan dengan dua pulau utama
2,Filipina,Asia,Asia Tenggara,Satu kepulauan
3,Indonesia,Asia,Asia Tenggara,Satu kepulauan dengan tiga pulau berbagi dengan negara lain
4,Papua Nugini,Oseania,Melanesia,Satu kepulauan dengan pulau utama berbagi dengan negara lain
5,Antigua dan Barbuda,Amerika,Karibia,Satu kepulauan dengan dua pulau utama
6,Tanjung Verde,Afrika,Makaronesia,Satu kepulauan
7,Komoro,Afrika,Komoro,Satu kepulauan dengan tiga pulau utama
8,Republik Dominika,Amerika,Karibia,Satu kepulauan dengan pulau utama berbagi dengan negara lain
9,Grenada,Amerika,Karibia,Satu kepulauan dengan dua pulau utama
10,Jamaika,Amerika,Karibia,Satu kepulauan dengan satu pulau utama
11,Kiribati,Oseania,Mikronesia,Dua kepulauan
12,Maladewa,Asia,Asia Selatan,Satu kepulauan
13,Kepulauan Marshall,Oseania,Mikronesia,Dua kepulauan
14,Mauritius,Afrika,Afrika Timur,Dua kepulauan dengan dua pulau utama
15,Saint Vincent dan Grenadine,Amerika,Karibia,Satu kepulauan dengan satu pulau utama
16,Sao Tome dan Principe,Afrika,Afrika Tengah,Satu kepulauan dengan dua pulau utama
17,Seychelles,Afrika,Afrika Timur,Empat kepulauan
18,Kepulauan Solomon,Oseania,Melanesia,Lima kepulauan
19,Trinidad dan Tobago,Amerika,Karibia,Satu kepulauan dengan dua pulau utama
20,Tuvalu,Oseania,Polinesia,Satu kepulauan
21,Vanuatu,Oseania,Melanesia,Satu kepulauan
