,K o d e,L a m b a n g,C o u n t y,I b u   k o t a,M u n i s i p a l i t a s   t e r p a d a t
0,1,,Østfold,Sarpsborg,Fredrikstad
1,2,,Akershus,Oslo,Bærum
2,3,,Oslo,City of Oslo,Oslo
3,4,,Hedmark,Hamar,Ringsaker
4,5,,Oppland,Lillehammer,Gjøvik
5,6,,Buskerud,Drammen,Drammen
6,7,,Vestfold,Tønsberg,Sandefjord
7,8,,Telemark,Skien,Skien
8,9,,Aust-Agder,Arendal,Arendal
9,10,,Vest-Agder,Kristiansand,Kristiansand
10,11,,Rogaland,Stavanger,Stavanger
11,12,,Hordaland,Bergen,Bergen
12,13,Tidak digunakan. County ini tidak ada karena bergabung dengan Hordaland pada tahun 1972 bersama Bergen.,Tidak digunakan. County ini tidak ada karena bergabung dengan Hordaland pada tahun 1972 bersama Bergen.,Tidak digunakan. County ini tidak ada karena bergabung dengan Hordaland pada tahun 1972 bersama Bergen.,Tidak digunakan. County ini tidak ada karena bergabung dengan Hordaland pada tahun 1972 bersama Bergen.
13,14,,Sogn og Fjordane,Leikanger,Førde
14,15,,Møre og Romsdal,Molde,Ålesund
15,16,,Sør-Trøndelag,Trondheim,Trondheim
16,17,,Nord-Trøndelag,Steinkjer,Stjørdal
17,18,,Nordland,Bodø,Bodø
18,19,,Troms,Tromsø,Tromsø
19,20,,Finnmark,Vadsø,Alta
