,N e g a r a,P e r m o h o n a n,N e g o s i a s i,U n d a n g a n,A n g g o t a [ 1 ],K a w a s a n,C a t a t a n
0,Australia,,,,7 Juni 1971,Oseania,
1,Austria,,,,29 September 1961,Eropa,Anggota OEEC.[3]
2,Belgia,,,,13 September 1961,Eropa,Anggota OEEC.[3]
3,Kanada,,,,10 April 1961,Amerika Utara,
4,Chili,November 2003[4][5],16 Mei 2007[6],15 Desember 2009[7],7 Mei 2010,Amerika Selatan,
5,Kolombia,,,,28 April 2020,Amerika Selatan,
6,Kosta Rika,,,,25 Mei 2021,Amerika Utara,
7,Ceko,Januari 1994[8],8 Juni 1994[9],24 November 1995[8],21 Desember 1995,Eropa,Anggota Comecon sejak 1949 hingga 1991 dengan nama Cekoslowakia.
8,Denmark,,,,30 Mei 1961,Eropa,Anggota OEEC.[3]
9,Estonia,,16 Mei 2007[6],10 Mei 2010[10],9 Desember 2010,Eropa,
10,Finlandia,,,,28 Januari 1969,Eropa,
11,Prancis,,,,7 Agustus 1961,Eropa,Anggota OEEC.[3]
12,Jerman,,,,27 September 1961,Eropa,Bergabung OEEC tahun 1949 (Jerman Barat).[11] Sebelumnya diwakili oleh Trizone.[3] Jerman Timur anggota Comecon sejak 1950 hingga reunifikasi Jerman tahun 1990.
13,Yunani,,,,27 September 1961,Eropa,Anggota OEEC.[3]
14,Hongaria,Desember 1993[12],8 Juni 1994[9],,7 Mei 1996,Eropa,Anggota Comecon sejak 1949 hingga 1991.
15,Islandia,,,,5 Juni 1961,Eropa,Anggota OEEC.[3]
16,Irlandia,,,,17 Agustus 1961,Eropa,Anggota OEEC.[3]
17,Israel,15 Maret 2004[13],16 Mei 2007[6],10 Mei 2010[10],7 September 2010,Asia,
18,Italia,,,,29 Maret 1962,Eropa,Anggota OEEC.[3]
19,Jepang,November 1962[14],,Juli 1963[14],28 April 1964,Asia,
20,Korea Selatan,29 Maret 1995[15],,25 Oktober 1996[16],12 Desember 1996,Asia,Nama resminya Republik Korea
21,Latvia,,29 Mei 2013[17],11 Mei 2016[18],1 Juli 2016[19],Eropa,
22,Lituania,,9 April 2015[20],31 Mei 2018,5 Juli 2018[21],Eropa,
23,Luksemburg,,,,7 Desember 1961,Eropa,Anggota OEEC.[3]
24,Meksiko,,,14 April 1994[22],18 Mei 1994,Amerika Utara,
25,Belanda,,,,13 November 1961,Eropa,Anggota OEEC.[3]
26,Selandia Baru,,,,29 Mei 1973,Oseania,
27,Norwegia,,,,4 Juli 1961,Eropa,Anggota OEEC.[3]
28,Polandia,1 Februari 1994[23],8 Juni 1994[9],11 Juli 1996[24],22 November 1996,Eropa,Anggota Comecon sejak 1949 hingga 1991.
29,Portugal,,,,4 Agustus 1961,Eropa,Anggota OEEC.[3]
30,Slowakia,Februari 1994[25],8 Juni 1994[9],Juli 2000[25],14 Desember 2000,Eropa,Anggota Comecon sejak 1949 hingga 1991 dengan nama Cekoslowakia.
31,Slovenia,Maret 1996[26],16 Mei 2007[6],10 Mei 2010[10],21 Juli 2010,Eropa,
32,Spanyol,,,,3 Agustus 1961,Eropa,Bergabung OEEC tahun 1958.[27]
33,Swedia,,,,28 September 1961,Eropa,Anggota OEEC.[3]
34,Swiss,,,,28 September 1961,Eropa,Anggota OEEC.[3]
35,Turki,,,,2 Agustus 1961,Asia,Anggota OEEC.[3]
36,Britania Raya,,,,2 Mei 1961,Eropa,Anggota OEEC.[3]
37,Amerika Serikat,,,,12 April 1961,Amerika Utara,
