,#,O l a h r a g a,P e n g g e m a r,L i n g k u p
0,1,Sepak bola,4 miliar,Global
1,2,Kriket,2.5 miliar,Britania Raya dan Negara-Negara Persemakmuran
2,3,Hoki lapangan,2 miliar,"Eropa, Afrika, Asia, dan Australia"
3,4,Tenis,1 miliar,Global
4,5,Voli,900 juta,Eropa Barat dan Amerika
5,6,Tenis meja,875 juta,Global
6,7,Bola basket,825 juta,Global
7,8,Bisbol,500 juta,"AS, Karibia, dan Jepang"
8,9,Sepak bola rugbi,475 juta,Britania Raya dan Negara-Negara Persemakmuran
9,10,Golf,450 juta,"Eropa Barat, Asia Timur, Amerika Utara"
