,S i s t e m / P e r i o d e,S e r i / K a l a,M a s a / U s i a,P e n a n g g a l a n   m u t l a k   ( M a )
0,Neogen,Miosen,Aquitanium,younger
1,Paleogen,Oligosen,Chattium,23.03–27.82
2,Paleogen,Oligosen,Rupelium,27.82–33.9
3,Paleogen,Eosen,Priabonium,33.9–37.71
4,Paleogen,Eosen,Bartonium,37.71–41.2
5,Paleogen,Eosen,Lutetium,41.2–47.8
6,Paleogen,Eosen,Ypresium,47.8–56.0
7,Paleogen,Paleosen,Thanetium,56.0–59.2
8,Paleogen,Paleosen,Selandium,59.2–61.6
9,Paleogen,Paleosen,Danium,61.6–66.0
10,Kretaseus,Awal/Akhir,Maastrichtium,older
11,"Subdivisi Periode Paleogen menurut ICS, pada Januari 2020.[1]","Subdivisi Periode Paleogen menurut ICS, pada Januari 2020.[1]","Subdivisi Periode Paleogen menurut ICS, pada Januari 2020.[1]","Subdivisi Periode Paleogen menurut ICS, pada Januari 2020.[1]"
