,T a h u n,G a m e s,T u a n   r u m a h,N e g a r a,J u a r a
0,1924,I,Chamonix,Prancis,Norwegia
1,1928,II,St Moritz,Swiss,Norwegia
2,1932,III,"Lake Placid, New York",Amerika Serikat,Amerika Serikat
3,1936,IV,Garmisch-Partenkirchen,Jerman,Norwegia
4,1940,V 1,Sapporo→Garmisch-Partenkirchen,Jepang→ Jerman,-
5,1944,V 1,Cortina d'Ampezzo,Italia,-
6,1948,V,St Moritz,Swiss,Norwegia
7,1952,VI,Oslo,Norwegia,Norwegia
8,1956,VII,Cortina d'Ampezzo,Italia,Uni Soviet
9,1960,VIII,"Squaw Valley, California",Amerika Serikat,Uni Soviet
10,1964,IX,Innsbruck,Austria,Uni Soviet
11,1968,X,Grenoble,Prancis,Norwegia
12,1972,XI,Sapporo,Jepang,Uni Soviet
13,1976,XII,Innsbruck,Austria,Uni Soviet
14,1980,XIII,"Lake Placid, New York",Amerika Serikat,Uni Soviet
15,1984,XIV,Sarajevo,Yugoslavia,Jerman Timur
16,1988,XV,"Calgary, Alberta",Kanada,Uni Soviet
17,1992,XVI,Albertville,Prancis,Jerman
18,1994,XVII,Lillehammer,Norwegia,Rusia
19,1998,XVIII,Nagano,Jepang,Jerman
20,2002,XIX,"Salt Lake City, Utah",Amerika Serikat,Norwegia
21,2006,XX,Torino,Italia,Jerman
22,2010,XXI,"Vancouver, British Columbia",Kanada,Kanada
23,2014,XXII,Sochi,Rusia,Rusia
24,2018,XXIII,Pyeongchang,Korea Selatan,Norwegia
25,2022,XXIV,Beijing,Tiongkok,Norwegia
26,2026,XXV,Milan-Cortina d'Ampezzo,Italia,Belum berlangsung
