,O l i m p i a d e,N o .,K o t a   t u a n   r u m a h,D i b u k a   o l e h,O l a h r a g a ( N o m o r   d i s i p l i n ),P e s e r t a,P e s e r t a,P e s e r t a,N o m o r   p e r t a n d i n g a n,N e g a r a   p e s e r t a,J a d w a l,N e g a r a   d e n g a n   m e d a l i   t e r b a n y a k,R e f
0,1896,I,Athena,Raja Georgios I,9 (10),241,241,0,43,14,6–15 April 1896,Amerika Serikat (USA),[1]
1,1900,II,Paris,,19 (20),997,975,22,95[A],24,14 Mei – 28 Oktober 1900,Prancis (FRA),[2]
2,1904,III,St. Louis,Mantan Walikota David R. Francis,16 (17),651,645,6,95[B],12,1 Juli – 23 November 1904,Amerika Serikat (USA),[3]
3,1908,IV,London,Raja Edward VII,22 (25),2008,1971,37,110,22,27 April – 31 Oktober 1908,Britania Raya (GBR),[4]
4,1912,V,Stockholm,Raja Gustaf V,14 (18),2407,2359,48,102,28,6–22 Juli 1912,Amerika Serikat (USA),[5]
5,1916,VI [C],Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I,Diberikan kepada Berlin. Kemudian dibatalkan karena Perang Dunia I
6,1920,VII,Antwerpen,Raja Albert I,22 (29),2626,2561,65,156[D],29,14 Agustus – 12 September 1920,Amerika Serikat (USA),[6]
7,1924,VIII,Paris,Presiden Gaston Doumergue,17 (23),3089,2954,135,126,44,5–27 Juli 1924,Amerika Serikat (USA),[7]
8,1928,IX,Amsterdam,Pangeran Hendrik,14 (20),2883,2606,277,109,46,28 Juli – 12 Agustus 1928,Amerika Serikat (USA),[8]
9,1932,X,Los Angeles,Wakil President Charles Curtis,14 (20),1332,1206,126,117,37,30 Juli – 14 Agustus 1932,Amerika Serikat (USA),[9]
10,1936,XI,Berlin,Kanselir Adolf Hitler[E],19 (25),3963,3632,331,129,49,1–16 Agustus 1936,Jerman (GER),[10]
11,1940,XII [C],"Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II","Awalnya diberikan ke Tokyo, lalu diberikan ke Helsinki. Kemudian dibatalkan karena Perang Dunia II"
12,1944,XIII [C],Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II,Diberikan ke London. Dibatalkan karena Perang Dunia II
13,1948,XIV,London,Raja George VI,17 (23),4104,3714,390,136,59,29 Juli – 14 Agustus 1948,Amerika Serikat (USA),[11]
14,1952,XV,Helsinki,Presiden Juho Kusti Paasikivi,17 (23),4955,4436,519,149,69,19 Juli – 3 Agustus 1952,Amerika Serikat (USA),[12]
15,1956,XVI,Melbourne,"Pangeran Philip, Adipati Edinburgh",17 (23),3314,2938,376,151[F],72[G],22 November – 8 Desember 1956,Uni Soviet (URS),[13]
16,1960,XVII,Roma,Presiden Giovanni Gronchi,17 (23),5338,4727,611,150,83,25 Agustus – 11 September 1960,Uni Soviet (URS),[14]
17,1964,XVIII,Tokyo,Kaisar Hirohito,19 (25),5151,4473,678,163,93,10–24 Oktober 1964,Amerika Serikat (USA),[15]
18,1968,XIX,Kota Meksiko,President Gustavo Díaz Ordaz,18 (24),5516,4735,781,172,112,12–27 Oktober 1968,Amerika Serikat (USA),[16]
19,1972,XX,Munich,Presiden Gustav Heinemann,21 (28),7134,6075,1059,195,121,26 Agustus – 11 September 1972,Uni Soviet (URS),[17]
20,1976,XXI,Montreal,Ratu Elizabeth II,21 (27),6084,4824,1260,198,92,17 Juli – 1 Agustus 1976,Uni Soviet (URS),[18]
21,1980,XXII,Moskwa,Sekretaris Jenderal Partai Komunis Leonid Brezhnev[H],21 (27),5179,4064,1115,203,80,19 Juli – 3 Agustus 1980,Uni Soviet (URS),[19]
22,1984,XXIII,Los Angeles,Presiden Ronald Reagan,21 (29),6829,5263,1566,221,140,28 Juli – 12 Agustus 1984,Amerika Serikat (USA),[20]
23,1988,XXIV,Seoul,Presiden Roh Tae-woo,23 (31),8391,6197,2194,237,159,17 September – 2 Oktober 1988,Uni Soviet (URS),[21]
24,1992,XXV,Barcelona,Raja Juan Carlos I,25 (34),9356,6652,2704,257,169,25 Juli – 9 Agustus 1992,Tim Persatuan (EUN),[22]
25,1996,XXVI,Atlanta,Presiden Bill Clinton,26 (37),10318,6806,3512,271,197,19 Juli – 4 Agustus 1996,Amerika Serikat (USA),[23]
26,2000,XXVII,Sydney,Gubernur-Jenderal Sir William Deane,28 (40),10651,6582,4069,300,199,15 September – 1 Oktober 2000,Amerika Serikat (USA),[24]
27,2004,XXVIII,Athena,President Konstantinos Stephanopoulos,28 (40),10625,6296,4329,301,201,13–29 August 2004,Amerika Serikat (USA),[25]
28,2008,XXIX,Beijing,Presiden Hu Jintao[I],28 (41),10942,6305,4637,302,204,8–24 Agustus 2008,Tiongkok (CHN),[26]
29,2012,XXX,London,Ratu Elizabeth II,26 (39),10768,5992,4776,302,204,27 Juli – 12 Agustus 2012,Amerika Serikat (USA),[27]
30,2016,XXXI,Rio de Janeiro,Penjabat Presiden Michel Temer,28 (41),11238,6179,5059,306,207,5–21 Agustus 2016,Amerika Serikat (USA),[28]
31,2020,XXXII,Tokyo,Kaisar Naruhito,33 (50),11656,TBA,TBA,339,206,23 Juli – 8 Agustus 2021[J],Amerika Serikat (USA),[29]
32,2024,XXXIII,Paris,TBA,32 (48),10500[K],TBA,TBA,329,TBA,26 Juli – 11 Agustus 2024,TBA,[14]
33,2028,XXXIV,Los Angeles,TBA,TBA,TBA,TBA,TBA,TBA,TBA,21 Juli – 6 Agustus 2028,TBA,[14]
34,2032,XXXV,Brisbane,TBA,TBA,TBA,TBA,TBA,TBA,TBA,23 Juli – 8 Agustus 2032,TBA,
