,N o m o r,T a n g g a l,N e g a r a,L o k a s i
0,KTT ke-1,22-25 September 1969,Maroko,Rabat
1,KTT ke-2,22-24 Februari 1974,Pakistan,Lahore
2,KTT ke-3,25-29 Januari 1981,Arab Saudi,Mekkah dan Thaif
3,KTT ke-4,16-19 Januari 1984,Maroko,Casablanca
4,KTT ke-5,26-29 Januari 1987,Kuwait,Kota Kuwait
5,KTT ke-6,9-11 Desember 1991,Senegal,Dakar
6,KTT ke-7,13-15 Desember 1994,Maroko,Casablanca
7,KTT Luar Biasa ke-1,23-24 Maret 1997,Pakistan,Islamabad
8,KTT ke-8,9-11 Desember 1997,Iran,Teheran
9,KTT ke-9,12-13 November 2000,Qatar,Doha
10,KTT Luar Biasa ke-2,4-5 Maret 2003,Qatar,Doha
11,KTT ke-10,16-17 Oktober 2003,Malaysia,Putrajaya
12,KTT Luar Biasa ke-3,7-8 Desember 2005,Arab Saudi,Mekkah
13,KTT ke-11,13-14 Maret 2008,Senegal,Dakar
14,KTT Luar Biasa ke-4,14-15 Agustus 2012,Arab Saudi,Mekkah
15,KTT ke-12,6-7 Februari 2013,Mesir,Kairo
16,KTT Luar Biasa ke-5,6-7 Maret 2016,Indonesia,Jakarta
17,KTT ke-13,14-15 April 2016,Turki,Istanbul
18,KTT Luar Biasa ke-6,13 Desember 2017,Turki,Istanbul
19,KTT Luar Biasa ke-7,18 Mei 2018,Turki,Istanbul
20,KTT ke-14,31 Mei 2019,Arab Saudi,Mekkah
21,KTT Luar Biasa ke-8,19 Desember 2021,Pakistan,Islamabad
