,N e g a r a,M a s u k,M e n a n d a t a n g a n i P a k t a   T e r a k h i r   H e l s i n k i,M e n a n d a t a n g a n i P i a g a m   P a r i s
0,Albania,19 Juni 1991,16 September 1991,17 September 1991
1,Amerika Serikat,25 Juni 1973,1 Agustus 1975,21 November 1990
2,Andorra,25 April 1996,10 November 1999,17 Februari 1998
3,Armenia,30 Januari 1992,8 Juli 1992,17 April 1992
4,Austria,25 Juni 1973,1 Agustus 1975,21 November 1990
5,Azerbaijan,30 Januari 1992,8 Juli 1992,20 Desember 1993
6,Belanda,25 Juni 1973,1 Agustus 1975,21 November 1990
7,Belarus,30 Januari 1992,26 Februari 1992,8 April 1993
8,Belgia,25 Juni 1973,1 Agustus 1975,21 November 1990
9,Bosnia and Herzegovina,30 April 1992,8 Juli 1992,
10,Bulgaria,25 Juni 1973,1 Agustus 1975,21 November 1990
11,Britania Raya,25 Juni 1973,1 Agustus 1975,21 November 1990
12,Ceko,1 Januari 1993,,
13,Denmark,25 Juni 1973,1 Agustus 1975,21 November 1990
14,Estonia,10 September 1991,14 Oktober 1992,6 Desember 1991
15,Finlandia,25 Juni 1973,1 Agustus 1975,21 November 1990
16,Georgia,24 Maret 1992,8 Juli 1992,21 Januari 1994
17,Hongaria,25 Juni 1973,1 Agustus 1975,21 November 1990
18,Islandia,25 Juni 1973,1 Agustus 1975,21 November 1990
19,Irlandia,25 Juni 1973,1 Agustus 1975,21 November 1990
20,Italia,25 Juni 1973,1 Agustus 1975,21 November 1990
21,Jerman,25 Juni 1973,1 Agustus 1975,21 November 1990
22,Kanada,25 Juni 1973,1 Agustus 1975,21 November 1990
23,Kazakhstan,30 Januari 1992,8 Juli 1992,23 September 1992
24,Kirgizstan,30 Januari 1992,8 Juli 1992,3 Juni 1994
25,Kroasia,24 Maret 1992,8 Juli 1992,
26,Latvia,10 September 1991,14 Oktober 1991,6 Desember 1991
27,Liechtenstein,25 Juni 1973,1 Agustus 1975,21 November 1990
28,Lituania,10 September 1991,14 Oktober 1991,6 Desember 1991
29,Luksemburg,25 Juni 1973,1 Agustus 1975,21 November 1990
30,"Makedonia, bekas Republik Yugoslavia",12 Oktober 1995,,
31,Malta,25 Juni 1973,1 Agustus 1975,21 November 1990
32,Moldova,30 Januari 1992,26 Februari 1992,29 Januari 1993
33,Monako,25 Juni 1973,1 Agustus 1975,21 November 1990
34,Montenegro,22 Juni 2006,1 September 2006,
35,Norwegia,25 Juni 1973,1 Agustus 1975,21 November 1990
36,Prancis,25 Juni 1973,1 Agustus 1975,21 November 1990
37,Polandia,25 Juni 1973,1 Agustus 1975,21 November 1990
38,Portugal,25 Juni 1973,1 Agustus 1975,21 November 1990
39,Rumania,25 Juni 1973,1 Agustus 1975,21 November 1990
40,Rusia,25 Juni 1973 (as USSR),1 Agustus 1975,21 November 1990
41,San Marino,25 Juni 1973,1 Agustus 1975,21 November 1990
42,Serbia,25 Juni 1973 (as Yugoslavia),,
43,Siprus,25 Juni 1973,1 Agustus 1975,21 November 1990
44,Slovenia,24 Maret 1992,8 Juli 1992,8 Maret 1993
45,Slowakia,1 Januari 1993,,
46,Spanyol,25 Juni 1973,1 Agustus 1975,21 November 1990
47,Swedia,25 Juni 1973,1 Agustus 1975,21 November 1990
48,Swiss,25 Juni 1973,1 Agustus 1975,21 November 1990
49,Tajikistan,30 Januari 1992,26 Februari 1992,
50,Turki,25 Juni 1973,1 Agustus 1975,21 November 1990
51,Turkmenistan,30 Januari 1992,8 Juli 1992,
52,Ukraina,30 Januari 1992,26 Februari 1992,16 Juni 1992
53,Uzbekistan,30 Januari 1992,26 Februari 1992,27 Oktober 1993
54,Vatikan,25 Juni 1973,1 Agustus 1975,21 November 1990
55,Yunani,25 Juni 1973,1 Agustus 1975,21 November 1990
