,D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 ),D a t a   i k l i m   O t t a w a   M a c d o n a l d - C a r t i e r   I n t e r n a t i o n a l   A i r p o r t   ( 1 9 7 1 – 2 0 0 0 )
0,Humidex,13.1,14.6,30,35.1,38.2,44,46,45.7,42.5,33.7,26.1,18.4,46
1,Rekor tertinggi °C (°F),12.0 (53.6),14.2 (57.6),27.2 (81),31.1 (88),32.8 (91),36.1 (97),36.7 (98.1),37.8 (100),35.0 (95),27.8 (82),23.9 (75),16.3 (61.3),37.8 (100)
2,Rata-rata tertinggi °C (°F),−6.1 (21),−4.1 (24.6),2.2 (36),10.8 (51.4),19.1 (66.4),23.8 (74.8),26.5 (79.7),24.9 (76.8),19.5 (67.1),12.5 (54.5),5.3 (41.5),−4.8 (23.4),10.9 (51.6)
3,Rata-rata harian °C (°F),−10.8 (12.6),−8.7 (16.3),−2.5 (27.5),5.7 (42.3),13.4 (56.1),18.3 (64.9),20.9 (69.6),19.5 (67.1),14.3 (57.7),7.8 (46),1.25 (34.25),−8.1 (17.4),6 (43)
4,Rata-rata terendah °C (°F),−15.3 (4.5),−13.3 (8.1),−7.1 (19.2),0.6 (33.1),7.7 (45.9),12.7 (54.9),15.4 (59.7),14.1 (57.4),9.1 (48.4),3.0 (37.4),−2.8 (27),−11.3 (11.7),1.1 (34)
5,Rekor terendah °C (°F),−35.6 (−32.1),−36.1 (−33),−30.6 (−23.1),−16.7 (1.9),−5.6 (21.9),−0.1 (31.8),5 (41),2.6 (36.7),−3 (27),−7.8 (18),−21.7 (−7.1),−34.4 (−29.9),−36.1 (−33)
6,Kesejukan angin,−47.8,−47.6,−37.8,−26.3,−10.9,−1.6,4.6,1.1,−6.4,−13.3,−29.5,−44.6,−47.8
7,Presipitasi mm (inci),70.2 (2.764),58.9 (2.319),73.9 (2.909),72.4 (2.85),79.0 (3.11),85.0 (3.346),90.6 (3.567),87.1 (3.429),85.3 (3.358),79.4 (3.126),80.1 (3.154),81.5 (3.209),943.5 (37.146)
8,Curah hujan mm (inci),25.2 (0.992),17.6 (0.693),36.3 (1.429),60.5 (2.382),78.4 (3.087),85.0 (3.346),90.6 (3.567),87.1 (3.429),85.3 (3.358),74.9 (2.949),59.8 (2.354),31.3 (1.232),732 (28.82)
9,Curah salju cm (inci),55.2 (21.73),46.0 (18.11),39.8 (15.67),11.0 (4.33),0.6 (0.24),0 (0),0 (0),0 (0),0 (0),4.1 (1.61),21.9 (8.62),57.2 (22.52),235.7 (92.8)
