,P r o d u s e n   p a d i   t e r b e s a r   —   2 0 1 1 ( j u t a   m e t r i k   t o n ),P r o d u s e n   p a d i   t e r b e s a r   —   2 0 1 1 ( j u t a   m e t r i k   t o n ) . 1
0,Republik Rakyat Tiongkok,201
1,India,158
2,Indonesia,66
3,Bangladesh,51
4,Vietnam,42
5,Thailand,35
6,Myanmar,29
7,Filipina,17
8,Brasil,13
9,Pakistan,9
10,Total Dunia,723
11,Sumber: Organisasi Pangan dan Pertanian (FAO)[http://faostat.fao.org/site/339/default.aspx,Sumber: Organisasi Pangan dan Pertanian (FAO)[http://faostat.fao.org/site/339/default.aspx
