,P e m i l i h a n   u m u m,K e t u a,S u a r a,%,K u r s i,±,S t a t u s
0,1901,Chris Watson,79736,15.76,14 / 75,14,Dukungan eksternal
1,1903,Chris Watson,223163,30.95,22 / 75,7,Dukungan (1903–04)
2,1903,Chris Watson,223163,30.95,22 / 75,7,Minoritas (1904)
3,1903,Chris Watson,223163,30.95,22 / 75,7,Oposisi (1904–05)
4,1903,Chris Watson,223163,30.95,22 / 75,7,Dukungan (1905–06)
5,1906,Chris Watson,348711,36.64,26 / 75,4,Dukungan (1906–08)
6,1906,Chris Watson,348711,36.64,26 / 75,4,Minoritas (1908–09)
7,1906,Chris Watson,348711,36.64,26 / 75,4,Oposisi (1909–10)
8,1910,Andrew Fisher,660864,49.97,42 / 75,16,Mayoritas
9,1913,Andrew Fisher,921099,48.47,37 / 75,5,Oposisi
10,1914,Andrew Fisher,858451,50.89,42 / 75,5,Mayoritas
11,1917,Frank Tudor,827541,43.94,22 / 75,20,Oposisi
12,1919,Frank Tudor,811244,42.49,26 / 75,4,Oposisi
13,1922,Matthew Charlton,665145,42.3,29 / 75,3,Oposisi
14,1925,Matthew Charlton,1313627,45.04,23 / 75,6,Oposisi
15,1928,James Scullin,1158505,44.64,31 / 75,8,Oposisi
16,1929,James Scullin,1406327,48.84,46 / 75,15,Mayoritas
17,1931,James Scullin,859513,27.1,14 / 75,32,Oposisi
18,1934,James Scullin,952251,26.81,18 / 74,4,Oposisi
19,1937,John Curtin,1555737,43.17,29 / 74,11,Oposisi
20,1940,John Curtin,1556941,40.16,32 / 74,3,Oposisi (1940–41)
21,1940,John Curtin,1556941,40.16,32 / 74,3,Minoritas (1941–43)
22,1943,John Curtin,2058578,49.94,49 / 74,17,Mayoritas
23,1946,Ben Chifley,2159953,49.71,43 / 75,6,Mayoritas
24,1949,Ben Chifley,2117088,45.98,47 / 121,4,Oposisi
25,1951,Ben Chifley,2174840,47.63,52 / 121,5,Oposisi
26,1954,H. V. Evatt,2280098,50.03,57 / 121,5,Oposisi
27,1955,H. V. Evatt,1961829,44.63,47 / 122,10,Oposisi
28,1958,H. V. Evatt,2137890,42.81,45 / 122,2,Oposisi
29,1961,Arthur Calwell,2512929,47.9,60 / 122,15,Oposisi
30,1963,Arthur Calwell,2489184,45.47,50 / 122,10,Oposisi
31,1966,Arthur Calwell,2282834,39.98,41 / 124,9,Oposisi
32,1969,Gough Whitlam,2870792,46.95,59 / 125,18,Oposisi
33,1972,Gough Whitlam,3273549,49.59,67 / 125,8,Mayoritas
34,1974,Gough Whitlam,3644110,49.3,66 / 127,1,Mayoritas (1974–75)[a]
35,1974,Gough Whitlam,3644110,49.3,66 / 127,1,Oposisi (1975)
36,1975,Gough Whitlam,3313004,42.84,36 / 127,30,Oposisi
37,1977,Gough Whitlam,3141051,39.65,38 / 124,2,Oposisi
38,1980,Bill Hayden,3749565,45.15,51 / 125,13,Oposisi
39,1983,Bob Hawke,4297392,49.48,75 / 125,24,Mayoritas
40,1984,Bob Hawke,4120130,47.55,82 / 148,7,Mayoritas
41,1987,Bob Hawke,4222431,45.76,86 / 148,4,Mayoritas
42,1990,Bob Hawke,3904138,39.44,78 / 148,8,Mayoritas
43,1993,Paul Keating,4751390,44.92,80 / 147,2,Mayoritas
44,1996,Paul Keating,4217765,38.69,49 / 148,31,Oposisi
45,1998,Kim Beazley,4454306,40.1,67 / 148,18,Oposisi
46,2001,Kim Beazley,4341420,37.84,65 / 150,2,Oposisi
47,2004,Mark Latham,4408820,37.63,60 / 150,5,Oposisi
48,2007,Kevin Rudd,5388184,43.38,83 / 150,23,Mayoritas
49,2010,Julia Gillard,4711363,37.99,72 / 150,11,Minoritas
50,2013,Kevin Rudd,4311365,33.38,55 / 150,17,Oposisi
51,2016,Bill Shorten,4702296,34.73,69 / 150,14,Oposisi
52,2019,Bill Shorten,4752631,33.34,68 / 151,1,Oposisi
53,2022,Anthony Albanese,4109296,32.8,76 / 151,9,Mayoritas
