,C a l o n,P u t a r a n   p e r t a m a,P u t a r a n   p e r t a m a,P u t a r a n   k e d u a,P u t a r a n   k e d u a
0,Nikos Anastasiadis,137.268,3551,215.281,55.99
1,Stávros Malás,116.920,3024,169.243,44.01
2,Nikolas Papadopoulos,99.508,2574,,
3,Christos Christou,21.846,565,,
4,Giórgos Lillíkas,8.419,218,,
5,Andreas Efstratiou,845,022,,
6,Charis Aristeidou,752,019,,
7,Michail Mina,662,017,,
8,Christakis Kapiliotis,391,010,,
9,Suara tidak sah/kosong,9.338,-,22.951,-
10,Suara sah,395.949,10000,407.475,10000
11,Pemilih terdaftar/tingkat partisipasi,550.876,7188,550.876,7397
12,"Sumber: European Polling Report, Central Electoral Service Diarsipkan 2018-01-29 di Wayback Machine.","Sumber: European Polling Report, Central Electoral Service Diarsipkan 2018-01-29 di Wayback Machine.","Sumber: European Polling Report, Central Electoral Service Diarsipkan 2018-01-29 di Wayback Machine.","Sumber: European Polling Report, Central Electoral Service Diarsipkan 2018-01-29 di Wayback Machine.","Sumber: European Polling Report, Central Electoral Service Diarsipkan 2018-01-29 di Wayback Machine."
