,U s i a,K e l a s,L e m b a g a   p e n d i d i k a n,L e m b a g a   p e n d i d i k a n . 1
0,6,1.0,Sekolah dasar (小学校shōgakkō),Sekolah dasar (小学校shōgakkō)
1,7,2.0,Sekolah dasar (小学校shōgakkō),Sekolah dasar (小学校shōgakkō)
2,8,3.0,Sekolah dasar (小学校shōgakkō),Sekolah dasar (小学校shōgakkō)
3,9,4.0,Sekolah dasar (小学校shōgakkō),Sekolah dasar (小学校shōgakkō)
4,10,5.0,Sekolah dasar (小学校shōgakkō),Sekolah dasar (小学校shōgakkō)
5,11,6.0,Sekolah dasar (小学校shōgakkō),Sekolah dasar (小学校shōgakkō)
6,12,7.0,Sekolah menengah pertama (中学校chūgakkō),Sekolah menengah pertama (中学校chūgakkō)
7,13,8.0,Sekolah menengah pertama (中学校chūgakkō),Sekolah menengah pertama (中学校chūgakkō)
8,14,9.0,Sekolah menengah pertama (中学校chūgakkō),Sekolah menengah pertama (中学校chūgakkō)
9,15,10.0,Sekolah menengah atas (高等学校kōtōgakkō) disingkat kōkō (高校),Sekolah teknik/politeknik (高等専門学校kōtō senmongakkō) disingkat kōsen (高専)
10,16,11.0,Sekolah menengah atas (高等学校kōtōgakkō) disingkat kōkō (高校),Sekolah teknik/politeknik (高等専門学校kōtō senmongakkō) disingkat kōsen (高専)
11,17,12.0,Sekolah menengah atas (高等学校kōtōgakkō) disingkat kōkō (高校),Sekolah teknik/politeknik (高等専門学校kōtō senmongakkō) disingkat kōsen (高専)
12,18,,Universitas (大学daigaku) (strata 1: 4 tahun) Akademi (短期大学tanki daigaku) (strata 1: 2 tahun),Sekolah teknik/politeknik (高等専門学校kōtō senmongakkō) disingkat kōsen (高専)
13,19,,Universitas (大学daigaku) (strata 1: 4 tahun) Akademi (短期大学tanki daigaku) (strata 1: 2 tahun),Sekolah teknik/politeknik (高等専門学校kōtō senmongakkō) disingkat kōsen (高専)
14,20,,Universitas (大学daigaku) (strata 1: 4 tahun) Akademi (短期大学tanki daigaku) (strata 1: 2 tahun),
15,21,,Universitas (大学daigaku) (strata 1: 4 tahun) Akademi (短期大学tanki daigaku) (strata 1: 2 tahun),
