,N o .,F o t o   G e d u n g,P e n g a d i l a n   T i n g g i,Y u r i s d i k s i,A l a m a t   W e b s i t e
0,1,,Pengadilan Tinggi Banda Aceh,Provinsi Nanggoroe Aceh Darussalam,http://www.pt-nad.go.id/
1,2,,Pengadilan Tinggi Medan,Provinsi Sumatra Utara,http://www.pt-medan.go.id/
2,3,,Pengadilan Tinggi Padang,Provinsi Sumatra Barat,http://www.pt-padang.go.id/ Diarsipkan 2014-03-18 di Wayback Machine.
3,4,,Pengadilan Tinggi Pekanbaru,"Provinsi Riau, Provinsi Kepulauan Riau",http://www.pt-pekanbaru.go.id/
4,5,,Pengadilan Tinggi Jambi,Provinsi Jambi,http://www.pt-jambi.go.id/
5,6,,Pengadilan Tinggi Palembang,Provinsi Sumatra Selatan,http://pt-palembang.go.id/
6,7,,Pengadilan Tinggi Bangka Belitung,Provinsi Bangka Belitung,http://www.pt-babel.go.id/
7,8,,Pengadilan Tinggi Bengkulu,Provinsi Bengkulu,http://www.pt-bengkulu.go.id/
8,9,,Pengadilan Tinggi Tanjung Karang,Provinsi Lampung,http://pt-tanjungkarang.go.id/pttk/ Diarsipkan 2014-03-20 di Wayback Machine.
9,10,,Pengadilan Tinggi Banten,Provinsi Banten,http://web.pt-banten.net/ Diarsipkan 2014-03-20 di Wayback Machine.
10,11,,Pengadilan Tinggi Jakarta,Provinsi DKI Jakarta,http://www.pt-jakarta.go.id/situs2/ Diarsipkan 2014-02-04 di Wayback Machine.
11,12,,Pengadilan Tinggi Bandung,Provinsi Jawa Barat,http://pt-bandung.go.id/
12,13,,Pengadilan Tinggi Semarang,Provinsi Jawa Tengah,http://www.pengadilantinggijateng.go.id/ Diarsipkan 2014-03-18 di Wayback Machine.
13,14,,Pengadilan Tinggi Yogyakarta,Provinsi Daerah Istimewa Yogyakarta,http://www.pt-yogyakarta.go.id/home.php Diarsipkan 2014-03-20 di Wayback Machine.
14,15,,Pengadilan Tinggi Surabaya,Provinsi Jawa Timur,http://www.pt-surabaya.go.id/
15,16,,Pengadilan Tinggi Banjarmasin,Provinsi Kalimantan Selatan,http://www.pt-banjarmasin.go.id/
16,17,,Pengadilan Tinggi Palangkaraya,Provinsi Kalimantan Tengah,http://pt-palangkaraya.go.id/
17,18,,Pengadilan Tinggi Pontianak,Provinsi Kalimantan Barat,http://www.pt-pontianak.go.id/newpt/index.php Diarsipkan 2014-03-20 di Wayback Machine.
18,19,,Pengadilan Tinggi Samarinda,"Provinsi Kalimantan Timur, Provinsi Kalimantan Utara",http://www.pt-samarinda.go.id/
19,20,,Pengadilan Tinggi Makassar,"Provinsi Sulawesi Selatan, Provinsi Sulawesi Barat",http://www.pt-makassar.go.id/
20,21,,Pengadilan Tinggi Sulawesi Tengah,Provinsi Sulawesi Tengah,http://www.pt-palu.go.id/
21,22,,Pengadilan Tinggi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,http://www.pt-sultra.go.id/
22,23,,Pengadilan Tinggi Manado,Provinsi Sulawesi Utara,http://www.pt-manado.go.id/
23,24,,Pengadilan Tinggi Gorontalo,Provinsi Gorontalo,http://pt-gorontalo.go.id/
24,25,,Pengadilan Tinggi Mataram,Provinsi Nusa Tenggara Barat,http://www.pt-mataram.go.id/
25,26,,Pengadilan Tinggi Denpasar,Provinsi Bali,http://www.pt-denpasar.go.id/
26,27,,Pengadilan Tinggi Kupang,Provinsi Nusa Tenggara Timur,http://www.pt-kupang.go.id/
27,28,,Pengadilan Tinggi Ambon,Provinsi Maluku,http://pt-ambon.go.id/index.php/en/ Diarsipkan 2014-03-20 di Wayback Machine.
28,29,,Pengadilan Tinggi Maluku Utara,Provinsi Maluku Utara,http://pt-malukuutara.go.id/
29,30,,Pengadilan Tinggi Jayapura,"Provinsi Papua, Provinsi Papua Barat",http://pt-jayapura.go.id/
