,P e r i o d e,P e m b a g i a n,P e m b a g i a n . 1,T a h u n
0,Arkaik,Arkaik,Arkaik,8000–2000 SM[28]
1,Praklasik,Praklasik Awal,Praklasik Awal,2000–1000 SM
2,Praklasik,Praklasik Pertengahan,Praklasik Pertengahan Awal,1000–600 SM
3,Praklasik,Praklasik Pertengahan,Praklasik Pertengahan Akhir,600–350 SM
4,Praklasik,Praklasik Akhir,Praklasik Akhir Awal,350–1 SM
5,Praklasik,Praklasik Akhir,Praklasik Akhir Akhir,1 SM–159 M
6,Praklasik,Praklasik Akhir,Praklasik Terminal,159–250 M
7,Klasik,Klasik Awal,Klasik Awal,250–550 M
8,Klasik,Klasik Akhir,Klasik Akhir,550–830 M
9,Klasik,Klasik Terminal,Klasik Terminal,830–950 M
10,Pascaklasik,Pascaklasik Awal,Pascaklasik Awal,950–1200 M
11,Pascaklasik,Pascaklasik Akhir,Pascaklasik Akhir,1200–1539 M
12,Periode Kontak,Periode Kontak,Periode Kontak,1511–1697 M[33][34]
