,N a m a,M u l a i   M e n j a b a t,T a n g g a l   L a h i r
0,Morihiro Hosokawa,1993–1994,14 Januari 1938 (umur 85)
1,Tsutomu Hata,1994,24 Agustus 1935 (umur 87)
2,Tomiichi Murayama,1994–1996,3 Maret 1924 (umur 99)
3,Yoshirō Mori,2000–2001,14 Juli 1937 (umur 85)
4,Junichiro Koizumi,2001–2006,8 Januari 1942 (umur 81)
5,Yasuo Fukuda,2007–2008,16 Juli 1936 (umur 86)
6,Taro Aso,2008–2009,20 September 1940 (umur 82)
7,Yukio Hatoyama,2009–2010,11 Februari 1947 (umur 76)
8,Naoto Kan,2010–2011,10 Oktober 1946 (umur 76)
9,Yoshihiko Noda,2011–2012,20 Mei 1957 (umur 65)
10,Yoshihide Suga,2020–2021,6 Desember 1948 (umur 74)
