,#,P o t r e t,N a m a ( L a h i r - W a f a t ) ( M a s a   H i d u p ),P e r i o d e   J a b a t a n,P e r i o d e   J a b a t a n . 1,P a r t a i
0,Perdana Menteri Khedivate Mesir (1878–1914)[sunting | sunting sumber],Perdana Menteri Khedivate Mesir (1878–1914)[sunting | sunting sumber],Perdana Menteri Khedivate Mesir (1878–1914)[sunting | sunting sumber],Perdana Menteri Khedivate Mesir (1878–1914)[sunting | sunting sumber],Perdana Menteri Khedivate Mesir (1878–1914)[sunting | sunting sumber],Perdana Menteri Khedivate Mesir (1878–1914)[sunting | sunting sumber]
1,1,,Nubar Pashaبوغوص نوبار باشا(1825–1899)(Periode pertama),28 Agustus 1878,23 Februari 1879,Independen
2,—,,Isma'il Pashaإسماعيل باشا(1830–1895)[2],23 Februari 1879,10 Maret 1879,Independen
3,2,,Muhammad Tawfiq Pashaمحمد توفيق باشا(1852–1892)(Periode pertama),10 Maret 1879,7 April 1879,Independen
4,3,,Muhammad Sharif Pashaمحمد شريف باشا(1823–1887)(Periode pertama),7 April 1879,18 Agustus 1879,Independen
5,—,,Muhammad Tawfiq Pashaمحمد توفيق باشا(1852–1892)(Periode ke-2)[2],18 Agustus 1879,21 September 1879,Independen
6,4,,Riyad Pashaرياض باشا(1836–1911)(Periode pertama),21 September 1879,10 September 1881,Independen
7,(3),,Muhammad Sharif Pashaمحمد شريف باشا(1823–1887)(Periode ke-2),14 September 1881,4 Februari 1882,Independen
8,5,,Mahmoud Sami el-Baroudiمحمود سامي البارودي(1838–1904),4 Februari 1882,26 Mei 1882,Independen
9,6,,Isma'il Raghib Pashaإسماعيل راغب باشا(1819–1884),18 Juni 1882,21 Agustus 1882,Independen
10,—,,Ahmed Orabiأحمد عرابي(1841–1911)[3],Juli 1882,13 September 1882,Militer
11,(3),,Muhammad Sharif Pashaمحمد شريف باشا(1823–1887)(Periode ke-3),21 Agustus 1882,7 Januari 1884,Independen
12,(1),,Nubar Pashaبوغوص نوبار باشا(1825–1899)(Periode ke-2),10 Januari 1884,9 Juni 1888,Independen
13,(4),,Riyad Pashaرياض باشا(1836–1911)(Periode ke-2),9 Juni 1888,12 Mei 1891,Independen
14,7,,Mustafa Fahmi Pashaمصطفى فهمي باشا(1840–1914)(Periode pertama),12 Mei 1891,15 Januari 1893,Independen
15,8,,Hussein Fahri Pasha(1843–1910),15 Januari 1893,17 Januari 1893,Independen
16,(4),,Riyad Pashaرياض باشا(1836–1911)(Periode ke-3),17 Januari 1893,16 April 1894,Independen
17,(1),,Nubar Pashaبوغوص نوبار باشا(1825–1899)(Periode ke-3),16 April 1894,12 November 1895,Independen
18,(7),,Mustafa Fahmi Pashaمصطفى فهمي باشا(1840–1914)(Periode ke-2),12 November 1895,12 November 1908,Independen
19,9,,Boutros Ghaliبطرس غالي(1847–1910),12 November 1908,21 February 1910[4],Independen
20,10,,Muhammad Said Pashaمحمد سعيد باشا(1863–1928)(Periode pertama),22 Februari 1910,5 April 1914,Independen
21,11,,Hussein Rushdi Pashaحسين رشدي باشا(1863–1928),5 April 1914,19 Desember 1914,Independen
