,P e m e r i n t a h,A w a l   d a f t a r,P a r t a i D i t a m p i l k a n,J a n g k a   w a k t u   [ 1 ],P e j a b a t
0,Abkhazia (Daftar),1995,-,tanggal,Sergei Shamba
1,Albania (Daftar),1912,-,tahun,Sali Berisha
2,Aljazair (Daftar),1962,ya,tahun,Abdelmalek Sellal
3,Andorra (Daftar),1982,-,tahun,Antoni Martí
4,Anguilla (Daftar),1976,ya,tanggal,Hubert Hughes
5,Antigua dan Barbuda (Daftar),1981,-,tahun,Baldwin Spencer
6,Armenia (Daftar),1918,ya,tanggal,Hovik Abrahamyan
7,Aruba (Daftar),1986,-,tanggal,Mike Eman
8,Australia (Daftar),1901,ya,tanggal,Malcolm Turnbull
9,Austria (Daftar),1918,ya,tahun,Christian Kern
10,Azerbaijan (Daftar),1918,ya,tanggal,Artur Rasizade
11,Bahama (Daftar),1967,-,tanggal,Hubert Ingraham
12,Bahrain (Daftar),1970,-,tahun,Sheikh Khalifah bin Sulman Al Khalifah
13,Bangladesh (Daftar),1971,ya,tanggal,Sheikh Hasina
14,Barbados (Daftar),1954,ya,tanggal,Freundel Stuart
15,Belarus (Daftar),1919,-,tanggal,Mikhail Myasnikovich
16,Belgia (Daftar),1831,ya,tanggal,Charles Michel
17,Belize (Daftar),1973,ya,tahun,Dean Barrow
18,Bermuda (Daftar),1968,ya,tanggal,Paula Cox
19,Bhutan (Daftar),1952,-,tanggal,Jigme Thinley
20,Bosnia dan Herzegovina (Daftar),1943,-,tanggal,Nikola Špirić
21,Kepulauan Virgin Britania Raya (Daftar),1967,ya,tanggal,Ralph T. O'Neal
22,Brunei Darussalam (Daftar),1984,tidak,tanggal,Hassanal Bolkiah
23,Bulgaria (Daftar),1879,ya,tanggal,Boyko Borisov
24,Burkina Faso (Daftar),1971,-,tanggal,Luc-Adolphe Tiao
25,Kamboja (Daftar),1945,-,tahun,Hun Sen
26,Kamerun (Daftar),1960,-,tanggal,Philémon Yang
27,Kanada (Daftar),1867,ya,tanggal,Justin Trudeau
28,Tanjung Verde (Daftar),1975,-,tanggal,José Maria Neves
29,Kepulauan Cayman (Daftar),1992,ya,tanggal,McKeeva Bush
30,Afrika Tengah (Daftar),1958,-,tanggal,Faustin-Archange Touadéra
31,Chad (Daftar),1978,-,tanggal,Emmanuel Nadingar
32,Republik Rakyat Tiongkok (Daftar),1949,-,tanggal,Li Keqiang
33,Kongo (Kinshasa) (Daftar),1960,ya,tanggal,Augustin Matata Ponyo
34,Kepulauan Cook (Daftar),1965,ya,tanggal,Henry Puna
35,Pantai Gading (Daftar),1957,ya,tanggal,Daniel Kablan Duncan
36,Kroasia (Daftar),1939,-,tanggal,Zoran Milanović
37,Kuba (Daftar),1940,-,tanggal,Raúl Castro
38,Curaçao (Daftar),2010,-,tanggal,Gerrit Schotte
39,Republik Turki Siprus Utara (Daftar),1983,ya,tanggal,Derviş Eroğlu
40,Republik Ceko (Daftar),1993,-,tahun,Bohuslav Sobotka
41,Denmark (Daftar),1848,-,tahun,Lars Løkke Rasmussen
42,Djibouti (Daftar),1977,-,tanggal,Dileita Mohamed Dileita
43,Dominika (Daftar),1960,-,tanggal,Roosevelt Skerrit
44,Timor Leste (Daftar),2002,-,tanggal,Xanana Gusmão
45,Mesir (Daftar),1878,-,tahun,Ibrahim Mahlab
46,Guinea Khatulistiwa (Daftar),1963,-,tanggal,Ignacio Milam Tang
47,Estonia (Daftar),1918,-,tanggal,Andrus Ansip
48,Etiopia (Daftar),1942,ya,tanggal,Meles Zenawi
49,Kepulauan Faroe (Daftar),1946,-,tahun,Kaj Leo Johannesen
50,Fiji (Daftar),1966,-,tanggal,Frank Bainimarama (interim)
51,Finlandia (Daftar),1917,ya,tahun,Juha Sipilä
52,Prancis (Daftar),1589,-,tahun,Manuel Valls
53,Gabon (Daftar),1957,ya,tanggal,Paul Biyoghé Mba
54,Georgia (Daftar),1918,ya,tanggal,Nikoloz Gilauri
55,Jerman (Daftar),1871/1949,ya,tanggal,Angela Merkel
56,Gibraltar (Daftar),1964,ya,tanggal,Peter Caruana
57,Yunani (Daftar),1833,-,tanggal,Alexis Tsipras
58,Greenland (Daftar),1979,-,tahun,Kuupik Kleist
59,Grenada (Daftar),1954,-,tahun,Tillman Thomas
60,Guernsey (Daftar),2007,-,tanggal,Lyndon Trott
61,Guinea (Daftar),1972,-,tanggal,Mohamed Said Fofana
62,Guinea-Bissau (Daftar),1973,-,tanggal,Carlos Gomes Júnior
63,Guyana (Daftar),1953,-,tanggal,Sam Hinds
64,Haiti (Daftar),1988,-,tanggal,Jean-Max Bellerive
65,Hongaria (Daftar),1848,-,tanggal,Viktor Orbán
66,Islandia (Daftar),1904,-,tanggal,Sigmundur Davíð Gunnlaugsson
67,India (Daftar),1947,ya,tanggal,Narendra Modi
68,Irak (Daftar),1920,-,tahun,Nouri al-Maliki
69,Irlandia (Daftar),1937,ya,tanggal,Enda Kenny
70,Israel (Daftar),1948,-,tahun,Benjamin Netanyahu
71,Italia (Daftar),1861,-,tahun,Matteo Renzi
72,Jamaika (Daftar),1959,-,tahun,Bruce Golding
73,Jepang (Daftar),1885,-,tanggal,Shinzo Abe
74,Jersey (Daftar),2005,-,tanggal,Terry Le Sueur
75,Yordania (Daftar),1944,-,tanggal,Marouf al-Bakhit
76,Kazakhstan (Daftar),1920,-,tahun,Karim Massimov
77,Kenya (Daftar),1963,-,tanggal,Raila Odinga
78,Korea Utara (Daftar),1948,-,tahun,Choe Yong-rim
79,Korea Selatan (Daftar),1948,-,tahun,Hwang Kyo-ahn
80,Kosovo (Daftar),1945,ya,tanggal,Hashim Thaçi
81,Kuwait (Daftar),1962,-,tanggal,Sheikh Nasser Mohammed Al-Ahmed Al-Sabah
82,Kirgizstan (Daftar),1924,-,tanggal,Almazbek Atambayev
83,Laos (Daftar),1941,-,tahun,Thongsing Thammavong
