,0,1,2,3,4,5,6,7,8
0,Ranking tahun 2009[3],Rangking tahun 2008[4],Rangking tahun 2007[5],Rangking tahun 2006[6],Rangking tahun 2005[7],Rangking tahun 2004[8],Universitas,Negara,Skor rata-rata
1,01,01,01,01,01,01,Harvard University,Amerika Serikat,01
2,02,03,02,02,03,06,University of Cambridge,Britania Raya,03
3,03,02,02,04,07,08,Yale University,Amerika Serikat,04
4,04,07,09,25,28,34,University College London,Britania Raya,18
5,05,06,05,09,13,14,Imperial College London,Britania Raya,09
6,05,04,02,03,04,05,University of Oxford,Britania Raya,04
7,07,08,07,11,17,13,University of Chicago,Amerika Serikat,11
8,08,12,06,10,09,09,Princeton University,Amerika Serikat,09
9,09,09,10,04,02,03,Massachusetts Institute of Technology,Amerika Serikat,06
10,10,05,07,07,08,04,California Institute of Technology,Amerika Serikat,07
11,11,10,11,12,20,19,Columbia University,Amerika Serikat,14
12,12,11,14,26,32,28,University of Pennsylvania,Amerika Serikat,21
13,13,13,15,23,27,25,Johns Hopkins University,Amerika Serikat,19
14,14,13,13,13,11,52,Duke University,Amerika Serikat,19
15,15,15,20,15,14,23,Cornell University,Amerika Serikat,17
16,16,17,19,06,05,07,Stanford University,Amerika Serikat,12
17,17,16,16,16,23,16,Australian National University,Australia,17
18,18,20,12,21,24,21,McGill University,Canada,19
19,19,18,38,29,36,31,University of Michigan,Amerika Serikat,29
20,20,23,23,33,30,48,University of Edinburgh,Britania Raya,30
21,20,24,42,24,21,10,ETH Zurich (Swiss Federal Institute of Technology),Swiss,24
