,0,1,2,3
0,,,,
1,20 Tim Peringkat Terbaik per 6 April 2023[1],20 Tim Peringkat Terbaik per 6 April 2023[1],20 Tim Peringkat Terbaik per 6 April 2023[1],20 Tim Peringkat Terbaik per 6 April 2023[1]
2,Peringkat,Perubahan,Tim,Poin
3,1,1,Argentina,1840.93
4,2,1,Prancis,1838.45
5,3,2,Brasil,1834.21
6,4,,Belgia,1792.53
7,5,,Inggris,1792.43
8,6,,Belanda,1731.23
9,7,,Kroasia,1730.02
10,8,,Italia,1713.66
11,9,,Portugal,1707.22
12,10,,Spanyol,1682.85
13,11,,Maroko,1677.79
14,12,,Swiss,1664.24
15,13,,Amerika Serikat,1653.77
16,14,,Jerman,1647.42
17,15,,Meksiko,1631.87
18,16,,Uruguay,1631.29
19,17,,Kolombia,1617.08
20,18,1,Senegal,1613.21
21,19,1,Denmark,1594.53
22,20,,Jepang,1588.59
23,*Perubahan dibandingkan tanggal 22 Desember 2022,*Perubahan dibandingkan tanggal 22 Desember 2022,*Perubahan dibandingkan tanggal 22 Desember 2022,*Perubahan dibandingkan tanggal 22 Desember 2022
24,Lihat peringkat lengkap di FIFA.com,Lihat peringkat lengkap di FIFA.com,Lihat peringkat lengkap di FIFA.com,Lihat peringkat lengkap di FIFA.com
