,N o .,N e g a r a,T a n g g a l   b e r g a b u n g,K e t e r a n g a n
0,1,Britania Raya,11 Desember 1931,
1,2,Siprus,13 Maret 1961,
2,3,Malta,21 September 1964,
3,Amerika Utara,Amerika Utara,Amerika Utara,Amerika Utara
4,4,Kanada,11 Desember 1931,
5,Amerika Tengah,Amerika Tengah,Amerika Tengah,Amerika Tengah
6,5,Jamaika,6 Agustus 1962,
7,6,Trinidad dan Tobago,31 Agustus 1962,
8,7,Barbados,30 November 1966,
9,8,Bahama,10 Juli 1973,
10,9,Grenada,7 Februari 1974,
11,10,Dominika,3 November 1978,
12,11,Saint Lucia,22 September 1979,
13,12,Saint Vincent dan Grenadines,27 Oktober 1979,
14,13,Antigua dan Barbuda,1 November 1981,
15,14,Belize,21 September 1981,
16,15,Saint Kitts dan Nevis,19 September 1983,
17,Amerika Selatan,Amerika Selatan,Amerika Selatan,Amerika Selatan
18,16,Guyana,26 Mei 1966,
19,Afrika,Afrika,Afrika,Afrika
20,17,Afrika Selatan,11 Desember 1931,Pernah meninggalkan Persemakmuran pada tanggal 31 Mei 1961 tetapi kembali menjadi anggota pada tanggal 1 Juni 1994.
21,18,Ghana,6 Maret 1957,
22,19,Nigeria,1 Oktober 1960,Pernah dibekukan pada tahun 1995 tetapi dimasukkan kembali pada tahun 1999.
23,20,Sierra Leone,27 April 1961,
24,21,Tanzania,26 April 1964,
25,22,Uganda,9 Oktober 1962,
26,23,Kenya,12 Desember 1963,
27,24,Malawi,6 Juli 1964,
28,25,Zambia,24 Oktober 1964,
29,26,Botswana,30 September 1966,
30,27,Lesotho,4 Oktober 1966,
31,28,Mauritius,12 Maret 1968,
32,29,Swaziland,6 September 1968,
33,30,Seychelles,29 Juni 1976,
34,31,Namibia,21 Maret 1990,
35,32,Kamerun,13 November 1995,
36,33,Mozambik,13 November 1995,Mozambik merupakan negara pertama non jajahan Britania yang bergabung dalam Persemakmuran.
37,34,Rwanda,28 November 2009,Rwanda merupakan negara kedua non jajahan Britania yang bergabung dalam Persemakmuran.
38,Asia,Asia,Asia,Asia
39,35,India,15 Agustus 1947,
40,36,Pakistan,14 Agustus 1947,Pernah meninggalkan Persemakmuran pada 1972 tetapi kembali menjadi anggota pada tahun 1989. Pernah dibekukan pada tahun 1999 dan kemudian dimasukkan kembali pada tahun 2004. Dibekukan kembali pada tahun 2007 dan dimasukkan kembali pada tahun 2008.
41,37,Sri Lanka,4 Februari 1948,
42,38,Malaysia,16 September 1963,
43,39,Singapura,15 Oktober 1965,
44,40,Bangladesh,18 April 1972,
45,41,Maladewa,9 Juli 1982,
46,42,Brunei Darussalam,1 Januari 1984,
47,Australia dan Oseania,Australia dan Oseania,Australia dan Oseania,Australia dan Oseania
48,43,Australia,11 Desember 1931,
49,44,Selandia Baru,11 Desember 1931,
50,45,Samoa,28 Oktober 1970,
51,46,Tonga,4 Juni 1970,
52,47,Papua Nugini,16 September 1975,
53,48,Kepulauan Solomon,7 Juli 1978,
54,49,Vanuatu,30 Juli 1980,
55,50,Tuvalu,1 Oktober 1978,
56,51,Kiribati,12 Juli 1979],
57,52,Nauru,1 November 1999,
58,53,Fiji,10 Oktober 1970,"Pernah meninggalkan Persemakmuran pada tahun 1987 tetapi menjadi anggota kembali pada tahun 1997. Pada tahun 2000, pernah dibekukan dan digabungkan kembali pada tahun 2001. Pada tahun 2006 kembali dibekukan, tetapi digabungkan kembali pada September 2014."
