,N a m a   M e s i r,L o k a s i
0,Ḥt,Ḥatti (Anatolia tengah)
1,Nhrn,Nahrin = Mitanni
2,I҆rṭw,Arzawa (Anatolia barat)
3,Pds,Pitassa (Anatolia tengah)
4,Drdny,"Dardania (sekutu bangsa Troya,[Catatan 5]Anatolia barat laut)"
5,Ms,"Masa (Mysia, Anatolia barat laut)"
6,Krkš,Karkisa (Anatolia)
7,Krkmš,"Karkhemish, di Suriah"
8,Qd,Daerah di Suriah utara yang sulit didefinisikan
9,Qdš,Kadesh (di Suriah)
10,Ꜥkrṭ,Ugarit (di Suriah utara)
11,Mwšꜣnt,Mushanet (tak diketahui)
12,Kškš,Kaska (Anatolia utara)
13,Lk,"Negeri-negeri Lukka (Lykia dan Karia, Anatolia barat daya)"
14,Qḍwdn,Kizzuwatna (Kilikia)
15,Nwgs,Nuḥḥašši (di Suriah)
16,I҆rwnt (sic!),Arawanna (di Anatolia)
17,Ḥlb,"Ḥalba (Aleppo, di Suriah, dipimpin oleh rajanya, Talmi-Sarruma, cucu Suppiluliuma I.)"
18,I҆ns,Inesa (tak diketahui)
