,T i m,K o n f e d e r a s i,K e h a d i r a n   P u t a r a n   F i n a l,K e h a d i r a n   T e r a k h i r
0,Arab Saudi,AFC,Ke-4,Edisi 2002
1,Australia,AFC1,Ke-2,Edisi 1974
2,Iran,AFC,Ke-3,Edisi 1998
3,Jepang,AFC,Ke-3,Edisi 2002
4,Korea Selatan,AFC,Ke-7,Edisi 2002
5,Angola,CAF,Pertama,–
6,Ghana,CAF,Pertama,–
7,Pantai Gading,CAF,Pertama,–
8,Togo,CAF,Pertama,–
9,Tunisia,CAF,Ke-4,Edisi 2002
10,Amerika Serikat,CONCACAF,Ke-8,Edisi 2002
11,Kosta Rika,CONCACAF,Ke-3,Edisi 2002
12,Meksiko,CONCACAF,Ke-13,Edisi 2002
13,Trinidad dan Tobago,CONCACAF,Pertama,–
14,Argentina,CONMEBOL,Ke-14,Edisi 2002
15,Brasil,CONMEBOL,Ke-18,Edisi 2002
16,Ekuador,CONMEBOL,Ke-2,Edisi 2002
17,Paraguay,CONMEBOL,Ke-7,Edisi 2002
18,Belanda,UEFA,Ke-8,Edisi 1998
19,Inggris,UEFA,Ke-12,Edisi 2002
20,Italia,UEFA,Ke-16,Edisi 2002
21,Jerman 2,UEFA,Ke-16 3,Edisi 2002 3
22,Kroasia,UEFA,Ke-3,Edisi 2002
23,Prancis,UEFA,Ke-12,Edisi 2002
24,Polandia,UEFA,Ke-7,Edisi 2002
25,Portugal,UEFA,Ke-4,Edisi 2002
26,Ceko,UEFA,Pertama 4,– 4
27,Serbia dan Montenegro,UEFA,Ke-2 5,Edisi 1998 5
28,Spanyol,UEFA,Ke-12,Edisi 2002
29,Swedia,UEFA,Ke-11,Edisi 2002
30,Swiss,UEFA,Ke-8,Edisi 1994
31,Ukraina,UEFA,Pertama,–
