,T a h u n   &   t u a n   r u m a h,T o t a l   p e n o n t o n,J u m l a h   p e r t a n d i n g a n,R a t a - r a t a   p e n o n t o n
0,1930,590.549,18.0,32.808
1,1934,363.000,17.0,21.353
2,1938,375.700,18.0,20.872
3,1950,1.045.246,22.0,47.511
4,1954,768.607,26.0,29.562
5,1958,819.810,35.0,23.423
6,1962,893.172,32.0,27.912
7,1966,1.563.135,32.0,48.848
8,1970,1.603.975,32.0,50.124
9,1974,1.865.753,38.0,49.099
10,1978,1.545.791,38.0,40.679
11,1982,2.109.723,52.0,40.572
12,1986,2.394.031,52.0,46.039
13,1990,2.516.215,52.0,48.389
14,1994,3.587.538,52.0,68.991
15,1998,2.785.100,64.0,43.517
16,2002,2.705.197,64.0,42.269
17,2006,3.359.439,64.0,52.491
18,2010,3.178.856,64.0,49.67
19,2014,3.429.873,64.0,53.592
20,2018,3.031.768,64.0,47.371
21,2022,3.404.252,64.0,53191.0
22,2026,,,
