,P i r a m i d a,M a s a   p e m e r i n t a h a n,S i t u s,T i n g g i   /   u k u r a n
0,Djoser,2670 SM,Saqqara,62 meter (203 kaki)
1,Sneferu,2612–2589 SM,Dashur,104 meter (341 kaki)
2,Sneferu,2612–2589 SM,Meidum,"65 meter (213 kaki) (rusak) * Seharusnya 91,65 meter (301 kaki) atau 175 hasta Kerajaan Mesir"
3,Khufu,2589–2566 SM,Giza,"146,7 meter (481 kaki) atau 280 hasta Kerajaan Mesir"
4,Djedefre,2566–2558 SM,Abu Rawash,60 meter (197 kaki)
5,Khafre,558–2532 SM,Giza,"136,4 meter (448 kaki) * Asal: 143,5 m atau 471 kaki atau 274 hasta Kerajaan Mesir"
6,Menkaure,2532–2504 SM,Giza,65 meter (213 kaki) atau 125 hasta Kerajaan Mesir
7,Userkaf,2494–2487 SM,Saqqara,48 meter (161 kaki)
8,Sahure,2487–2477 SM,Abusir,47 meter (155 kaki)
9,Neferirkare Kakai,2477–2467 SM,Abusir,"72,8 meter (239 kaki)"
10,Nyuserre Ini,2416–2392 SM,Abusir,"51,68 m (169,6 kaki) atau 99 hasta Kerajaan Mesir"
11,Amenemhat I,1991–1962 SM,Lisht,55 meter (181 kaki)
12,Senusret I,1971–1926 SM,Lisht,"61,25 meter (201 kaki)"
13,Senusret II,1897–1878 SM,el-Lahun,"48,65 m (159,6 kaki; 93 hasta Kerajaan Mesir ) atau 47,6 m (156 kaki; 91 hasta Kerajaan Mesir )"
14,Amenemhat III,1860–1814 SM,Hawara,75 meter (246 kaki)
15,Khendjer,1764–1759 SM,Saqqara,"37,35 m (122,5 kaki), sekarang 1 m (3,3 kaki)"
16,Piye,721 SM,El-Kurru,20 meter (66 kaki) atau 30 meter (99 kaki)
17,Taharqa,664 SM,Nuri,40 meter (132 kaki) atau 50 meter (164 kaki)
