,Z a m a n,p a l e o k l i m a t,g l a s i a s i,p a l e o a n t r o p o l o g i
0,790–761 ka,MIS 19,Glasiasi Günz (Elbe),Manusia Peking (Homo erectus)
1,761–712 ka,MIS 18,,
2,712–676 ka,MIS 17,,
3,676–621 ka,MIS 16,,
4,621–563 ka,MIS 15,Antarglasial Gunz-Haslach,"Manusia Heidelberg (Homo heidelbergensis), Bodo cranium"
5,563–524 ka,MIS 14,,
6,524–474 ka,MIS 13,akhir antarglasial Kromerium (Günz-Mindel),Manusia Boxgrove (Homo heidelbergensis)
7,474–424 ka,MIS 12,Kala Anglium di Britania; Glasiasi Haslach,Manusia Tautavel (Homo erectus)
8,424–374 ka,MIS 11,"Hoxnium (Britania), Yarmouthium (Amerika Utara)",Manusia Swanscombe (Homo heidelbergensis)
9,374–337 ka,MIS 10,"Glasiasi Mindel, glasiasi Elster, glasiasi Riss",
10,337–300 ka,MIS 9,Antarglasial Purfleet di Britania,Mousterium
11,300–243 ka,MIS 8,,Irhoud 1 (Homo sapiens); Paleolitik Tengah; Haplogroup A (Y-DNA)
12,243–191 ka,MIS 7,Antarglasial Aveley di Britania,Manusia Galilee; Haua Fteah
13,191–130 ka,MIS 6,Kala Illinoium,Manusia Herto (Homo sapiens); Makro-haplogrup L (mtDNA); Mousterium
14,130–123 ka,MIS 5e,"puncak dari antarglasial subkala Eemium, atau Ipswichium di Britain",Klasies River Caves; Sangoan
