,#,P r e s i d e n,P r e s i d e n . 1,M u l a i   M e n j a b a t,A k h i r   J a b a t a n,P a r t a i   P o l i t i k,M a s a   J a b a t a n
0,01,Boris Yeltsin[5],,10 Juli 1991(Dilantik),12 Desember 1991,Non-partai / Independen(didukung Demokrat Rusia),1
1,01,Boris Yeltsin[5],,12 Desember 1991,9 Agustus 1996,Non-partai / Independen(didukung Demokrat Rusia),1
2,01,Boris Yeltsin[5],,9 Agustus 1996(Dilantik),5 November 1996(menjalani proses operasi),Non-partai / Independen,2
3,—,Viktor Chernomyrdin (Pejabat),,5 November 1996,6 November 1996,Our Home is Russia(Rumah Kami adalah Rusia),2
4,01,Boris Yeltsin,,6 November 1996(kembali dari proses operasi),31 Desember 1999(pensiun secara sukarela),Non-partai / Independen,2
5,—,Vladimir Putin (Penjabat)[6],,31 Desember 1999,7 Mei 2000,Non-partai / Independen,2
6,02,Vladimir Putin,,7 Mei 2000(Dilantik),7 Mei 2004,Non-partai / Independen,3
7,02,Vladimir Putin,,7 Mei 2004(Dilantik),7 Mei 2008,Non-partai / Independen,4
8,03,Dmitry Medvedev,,7 Mei 2008(Dilantik),7 Mei 2012,Non-partai / Independen(didukung Rusia Bersatu),5
9,04,Vladimir Putin,,7 Mei 2012(Dilantik),—,Non-partai / Independen(didukung Rusia Bersatu),6
