,R a n k,2 0 1 4,2 0 1 4 . 1,2 0 1 3,2 0 1 3 . 1,2 0 1 2,2 0 1 2 . 1,2 0 1 1,2 0 1 1 . 1,2 0 1 0,2 0 1 0 . 1,2 0 0 9,2 0 0 9 . 1,2 0 0 8,2 0 0 8 . 1,2 0 0 7,2 0 0 7 . 1,2 0 0 6,2 0 0 6 . 1
0,1,Amerika Serikat,17611491,Amerika Serikat,17001290,Amerika Serikat,16501016,Amerika Serikat,15727291,Amerika Serikat,15143137,Amerika Serikat,14740580,Amerika Serikat,15002428,Amerika Serikat,14651211,Amerika Serikat,14345565
1,2,Tiongkok,10096966,Tiongkok,9110333,Tiongkok,7934721,Tiongkok,6726270,Tiongkok,5752320,Tiongkok,4856999,Jepang,4835553,Jepang,4812119,Jepang,4931413
2,3,Jepang,5339076,Jepang,5899905,Jepang,6101579,Jepang,5775633,Jepang,5376601,Jepang,4797984,Tiongkok,4070860,Jerman,3348291,Jerman,3160529
3,4,Jerman,3853623,Jerman,3809927,Jerman,3754154,Jerman,3801607,Jerman,3662524,Jerman,3588452,Jerman,3601765,Tiongkok,3283519,Tiongkok,2685206
4,5,Prancis,2844284,Prancis,2869883,Prancis,2824713,Prancis,2889304,Prancis,2847703,Prancis,2831553,Britania Raya,2904224,Britania Raya,2835805,Britania Raya,2645489
5,6,Britania Raya,2801499,Britania Raya,2695974,Britania Raya,2612525,Britania Raya,2542593,Britania Raya,2540957,Britania Raya,2666939,Prancis,2800864,Prancis,2576642,Prancis,2414820
6,7,Brasil,2429720,Brasil,2486874,Brasil,2432061,Italia,2237958,Italia,2234508,Italia,2227358,Italia,2222143,Italia,2093640,Italia,1989288
7,8,Italia,2147247,Italia,2130760,Italia,2143583,Brasil,2207921,Brasil,1916260,Brasil,1572431,Spanyol,1490975,Kanada,1356017,Spanyol,1241641
8,9,India,2027964,Rusia,1981791,India,1892548,India,1755712,India,1555615,Spanyol,1519339,Kanada,1484345,Spanyol,1353031,Kanada,1224994
9,10,Rusia,1930634,India,1952847,Rusia,1823299,Kanada,1617083,Kanada,1511465,Kanada,1447937,Brasil,1427429,Brasil,1152772,Korea Selatan,966585
10,11,Kanada,1785099,Kanada,1848274,Kanada,1773264,Rusia,1547010,Spanyol,1496363,India,1392779,Rusia,1368593,India,1117463,India,941326
11,12,Australia,1444201,Australia,1514269,Spanyol,1396221,Spanyol,1455758,Rusia,1425123,Rusia,1318495,India,1229139,Korea Selatan,1091726,Meksiko,921879
12,13,Spanyol,1366027,Spanyol,1376929,Australia,1359417,Korea Selatan,1125787,Korea Selatan,1053302,Korea Selatan,1037381,Korea Selatan,1118647,Rusia,1079991,Brasil,898063
13,14,Korea Selatan,1365797,Korea Selatan,1298958,Korea Selatan,1232164,Australia,1119902,Meksiko,1026316,Meksiko,988663,Meksiko,1074555,Meksiko,1000700,Rusia,830146
14,15,Meksiko,1237533,Meksiko,1202800,Meksiko,1167292,Meksiko,1068140,Australia,1025186,Australia,954754,Australia,900062,Belanda,809106,Belanda,753205
