,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a,M a t e m a t i k a
0,Rata-rata internasional (OECD),490,—,494,—,495,—,494,—,499,—
1,Albania,413,57,394,54,377,53,—,—,—,—
2,Aljazair,360,72,—,—,—,—,—,—,—,—
3,Argentina,409,58,—,—,—,—,—,—,—,—
4,Australia,494,25,504,17,514,13,520,12,524,10
5,Austria,497,20,506,16,496,22,505,17,506,18
6,Tiongkok B-S-J-G[b],531,6,—,—,—,—,—,—,—,—
7,Belgia,507,15,515,13,515,12,520,11,529,7
8,Brasil,377,68,389,55,386,51,370,50,356,39
9,Bulgaria,441,47,439,43,428,41,413,43,—,—
10,Argentina CABA[c],456,43,418,49,—,—,—,—,—,—
11,Kanada,516,10,518,11,527,8,527,7,532,6
12,Chili,423,50,423,47,421,44,411,44,—,—
13,Taiwan,542,4,560,3,543,4,549,1,—,—
14,Kolombia,390,64,376,58,381,52,370,49,—,—
15,Kosta Rika,400,62,407,53,—,—,—,—,—,—
16,Kroasia,464,41,471,38,460,38,467,34,—,—
17,Siprus,437,48,—,—,—,—,—,—,—,—
18,Ceko,492,28,499,22,493,25,510,15,516,12
19,Denmark,511,12,500,20,503,17,513,14,514,14
20,Republik Dominika,328,73,—,—,—,—,—,—,—,—
21,Estonia,520,9,521,9,512,15,515,13,—,—
22,Finlandia,511,13,519,10,541,5,548,2,544,2
23,Prancis,493,26,495,23,497,20,496,22,511,15
24,Makedonia,371,69,—,—,—,—,—,—,—,—
25,Georgia,404,60,—,—,—,—,—,—,—,—
26,Jerman,506,16,514,14,513,14,504,19,503,19
27,Yunani,454,44,453,40,466,37,459,37,445,32
28,Hong Kong,548,2,561,2,555,2,547,3,550,1
29,Hongaria,477,37,477,37,490,27,491,26,490,25
30,Islandia,488,31,493,25,507,16,506,16,515,13
31,Indonesia,386,66,375,60,371,55,391,47,360,37
32,Irlandia,504,18,501,18,487,30,501,21,503,20
33,Israel,470,39,466,39,447,39,442,38,—,—
34,Italia,490,30,485,30,483,33,462,36,466,31
35,Jepang,532,5,536,6,529,7,523,9,534,5
36,Yordania,380,67,386,57,387,50,384,48,—,—
37,Kazakhstan,460,42,432,45,405,48,—,—,—,—
38,Korea Selatan,524,7,554,4,546,3,547,4,542,3
39,Kosovo,362,71,—,—,—,—,—,—,—,—
40,Latvia,482,34,491,26,482,34,486,30,483,27
41,Lebanon,396,63,—,—,—,—,—,—,—,—
42,Lituania,478,36,479,35,477,35,486,29,—,—
43,Luksemburg,486,33,490,27,489,28,490,27,493,23
44,Makau,544,3,538,5,525,10,525,8,527,8
45,Malaysia,446,45,421,48,—,—,—,—,—,—
46,Malta,479,35,—,—,—,—,—,—,—,—
47,Meksiko,408,59,413,50,419,46,406,45,385,36
48,Moldova,420,52,—,—,—,—,—,—,—,—
49,Montenegro,418,54,410,51,403,49,399,46,—,—
50,Belanda,512,11,523,8,526,9,531,5,538,4
51,Selandia Baru,495,21,500,21,519,11,522,10,523,11
52,Norwegia,502,19,489,28,498,19,490,28,495,22
53,Peru,387,65,368,61,365,57,—,—,—,—
54,Polandia,504,17,518,12,495,23,495,24,490,24
55,Portugal,492,29,487,29,487,31,466,35,466,30
56,Qatar,402,61,376,59,368,56,318,52,—,—
57,Rumania,444,46,445,42,427,42,415,42,—,—
58,Rusia,494,23,482,32,468,36,476,32,468,29
59,Singapura,564,1,573,1,562,1,—,—,—,—
60,Slowakia,475,38,482,33,497,21,492,25,498,21
61,Slovenia,510,14,501,19,501,18,504,18,—,—
62,Spanyol,486,32,484,31,483,32,480,31,485,26
63,Swedia,494,24,478,36,494,24,502,20,509,16
64,Swiss,521,8,531,7,534,6,530,6,527,9
65,Thailand,415,56,427,46,419,45,417,41,417,35
66,Trinidad dan Tobago,417,55,—,—,414,47,—,—,—,—
67,Tunisia,367,70,388,56,371,54,365,51,359,38
68,Turki,420,51,448,41,445,40,424,40,423,33
69,Uni Emirat Arab,427,49,434,44,—,—,—,—,—,—
70,Britania Raya,492,27,494,24,492,26,495,23,508,17
71,Amerika Serikat,470,40,481,34,487,29,474,33,483,28
72,Uruguay,418,53,409,52,427,43,427,39,422,34
73,Vietnam,495,22,511,15,—,—,—,—,—,—
