,D i s t r i c t,D i s t r i c t   C a p i t a l,L L G   N a m e
0,Ambunti-Dreikikir District,Ambunti,Ambunti Rural
1,Ambunti-Dreikikir District,Ambunti,Tunap-Hunstein Range Rural
2,Ambunti-Dreikikir District,Ambunti,Gawanga Rural
3,Ambunti-Dreikikir District,Ambunti,Dreikikir Rural
4,Angoram District,Angoram,Angoram-Middle Sepik Rural
5,Angoram District,Angoram,Keram Rural
6,Angoram District,Angoram,Karawari Rural
7,Angoram District,Angoram,Marienberg-Lower Sepik Rural
8,Angoram District,Angoram,Yuat Rural
9,Maprik District,Maprik,Albiges Mamblep Rural
10,Maprik District,Maprik,Bumbuita Muhiang Rural
11,Maprik District,Maprik,Maprik Wora Rural
12,Maprik District,Maprik,Yamil Tamaui Rural
13,Wewak District,Wewak,Boikin Dagua Rural
14,Wewak District,Wewak,Turubu Rural
15,Wewak District,Wewak,Wewak Islands Rural
16,Wewak District,Wewak,Wewak Rural
17,Wewak District,Wewak,Wewak Urban
18,Wosera-Gawi District,Wosera,Burui-Kunai Rural
19,Wosera-Gawi District,Wosera,Gawi Rural
20,Wosera-Gawi District,Wosera,North Wosera Rural
21,Wosera-Gawi District,Wosera,South Wosera Rural
22,Yangoru-Saussia District,Yangoru,East Yangoru Rural
23,Yangoru-Saussia District,Yangoru,Numbo Rural
24,Yangoru-Saussia District,Yangoru,Sausso Rural
25,Yangoru-Saussia District,Yangoru,West Yangoru Rural
