,N e g a r a,N a m a   l o k a l,B a h a s a,J u m l a h   e n t i t a s
0,Provinsi di Afganistan,wilayat,"Pashto, Dari",34
1,Provinsi di Afrika Selatan,province,Inggris,9
2,Provinsi di Aljazair,wilaya,Arab,48
3,Provinsi di Angola,província,Portugis,18
4,Provinsi di Arab Saudi,mintaqah,Arab,13
5,Provinsi di Argentina,provincia,Spanyol,23
6,Provinsi di Armenia,marz,Armenia,11
7,Provinsi di Belanda,provincie,Belanda,12
8,Provinsi di Belarus,voblast,Belarusia,7
9,Provinsi di Belgia (Region Flemish),provincie,Belanda,5
10,Provinsi di Belgia (Region Walonia),province,Prancis,5
11,Provinsi di Bolivia,provincia,Spanyol,100
12,Provinsi di Bulgaria,oblast,Bulgaria,28
13,Provinsi di Burkina Faso,province,Prancis,45
14,Provinsi di Burundi,province,Prancis,17
15,Provinsi di Chili,provincia,Spanyol,54
16,Provinsi di Republik Dominika,provincia,Spanyol,32
17,Provinsi di Guinea Khatulistiwa,provincia,Spanyol,7
18,Provinsi di Fiji,yasana,Fiji,14
19,Provinsi di Finlandia,läänit atau län,"Finlandia, Swedia",6
20,Provinsi di Gabon,province,Prancis,9
21,Provinsi di Indonesia,provinsi,Indonesia,38
22,Provinsi di Iran,ostan,Persia,31
23,Provinsi di Irlandia,cúige,Irlandia,4
24,Provinsi di Italia,provincia,Italia,110
25,Provinsi di Kamboja,khaet,Khmer,20
26,Provinsi di Kanada,province,"Inggris, Prancis",10
27,Provinsi di Kazakhstan,oblasy,Kazak,14
28,Provinsi di Kenya,province,Inggris,8
29,Provinsi di Kepulauan Solomon,province,Inggris,9
30,Provinsi di Kolombia,provincia,Spanyol,
31,Provinsi di Republik Demokratik Kongo,province,Prancis,26
32,Provinsi di Korea Selatan,do atau to (도/道),Korea,10
33,Provinsi di Korea Utara,do atau to (도),Korea,10
34,Provinsi di Kosta Rika,provincia,Spanyol,7
35,Provinsi di Kuba,provincia,Spanyol,15
36,Provinsi di Kirgizstan,oblasty,Kirgiz,7
37,Provinsi di Laos,khoueng,Laos,16
38,Provinsi di Madagaskar,faritany,Malagasi,6
39,Provinsi di Mongolia,aimag atau aymag (Аймаг),Mongol,21
40,Provinsi di Mozambik,província,Portugis,10
41,Provinsi di Oman,wilaya,Arab,62
42,Provinsi di Pakistan,sûba(صوبہ); jamak: sûbé (صوبے),Urdu,5
43,Provinsi di Panama,provincia,Spanyol,9
44,Provinsi di Papua Nugini,province,Inggris,19
45,Provinsi di Peru,provincia,Spanyol,195
46,Provinsi di Polandia,województwo,Polandia,16
47,Provinsi di Filipina,"lalawigan atau probinsya, provincia, province","Tagalog, Spanyol, Inggris",81
48,Provinsi di Rwanda,intara,Prancis,5
49,Provinsi di Sao Tome dan Principe,província,Portugis,2
50,Provinsi di Sierra Leone,province,Inggris,3
51,Provinsi di Spanyol,provincia,Spanyol,50
52,Provinsi di Sri Lanka,"පළාත/palaatha,மாகாணம்/maahaanam & province","Sinhala, Tamil, Inggris",9
53,Provinsi di Tajikistan,"veloyati, dari bahasa Arab, wilaya",Tajik,3
54,Provinsi di Thailand,changwat (จังหวัด),Thai,76 + 1[6]
55,Provinsi di Tiongkok,shěng (省),Tionghoa Standar,22 + 1[7]
56,Provinsi di Turki,il,Turki,81
57,Provinsi di Turkmenistan,welayat (jamak: welayatlar) dari wilaya,Turkmen,5
58,Provinsi di Ukraina,oblast,Ukraina,24 + 3[8]
59,Provinsi di Uzbekistan,viloyat (jamak: viloyatlar),dari bahasa Arab wilaya,12
60,Provinsi di Vanuatu,,,6
61,Provinsi di Vietnam,tỉnh,Vietnam,58
62,Provinsi di Yunani,επαρχία (eparchia),Yunani,73
63,Provinsi di Zambia,province,Inggris,9
64,Provinsi di Zimbabwe,province,Inggris,8
