,N o .,N a m a,G e l a r   k h u s u s,T a h u n,T a h u n,T a h u n,K e d u d u k a n
0,1,Santo Gregorius Agung*,Bapa Gereja Barat,540 (sek.),604,1298,"Paus, O.S.B."
1,2,Santo Ambrosius*,Bapa Gereja Barat,340 (sek.),397,1298,Uskup Milan
2,3,Santo Agustinus dari Hippo*,Bapa Gereja Barat;Doctor gratiae (Pujangga Rahmat),354,430,1298,Uskup Hippo (sekarang Annaba)
3,4,Santo Hieronimus*,Bapa Gereja Barat,347 (sek.),420,1298,"Imam, biarawan"
4,5,Santo Thomas Aquinas,Doctor angelicus (Pujangga Malaikat);Doctor communis (Pujangga Umum),1225,1274,1567,"Imam, teolog, O.P."
5,6,Santo Yohanes Krisostomus*,Bapa Gereja Timur,347,407,1568,Uskup Agung Konstantinopel
6,7,Santo Basilius Agung*,Bapa Gereja Timur,330,379,1568,Uskup Kaisarea
7,8,Santo Gregorius Nazianzus*,Bapa Gereja Timur,329,389,1568,Uskup Agung Konstantinopel
8,9,Santo Athanasius*,Bapa Gereja Timur,298,373,1568,Uskup Agung Aleksandria
9,10,Santo Bonaventura,Doctor seraphicus (Pujangga Serafim),1221,1274,1588,"Kardinal Uskup Albano, teolog, Menteri Jenderal O.F.M."
10,11,Santo Anselmus,Doctor magnificus (Pujangga Hebat);Doctor Marianus (Pujangga Maria),1033 atau 1034,1109,1720,"Uskup Agung Canterbury, O.S.B."
11,12,Santo Isidorus dari Sevilla*,,560,636,1722,Uskup Agung Sevilla
12,13,Santo Petrus Krisologus*,,406,450,1729,Uskup Ravenna
13,14,Santo Leo Agung*,Dokter unitatis Ecclesiae (Pujangga Kesatuan Gereja),400,461,1754,Paus
14,15,Santo Petrus Damianus,,1007,1072,1828,"Kardinal Uskup Ostia, biarawan, O.S.B."
15,16,Santo Bernardus dari Clairvaux,Doctor mellifluus (Pujangga Merdu),1090,1153,1830,"Imam, O.Cist."
16,17,Santo Hilarius dari Poitiers*,Doctor divinitatem Christi (Pujangga Keilahian Kristus),300,367,1851,Uskup Poitiers
17,18,Santo Alfonsus Maria de Liguori,Doctor zelantissimus (Pujangga Paling Giat),1696,1787,1871,"Uskup Sant'Agata de' Goti, pendiri C.Ss.R."
18,19,Santo Fransiskus dari Sales,Doctor caritatis (Pujangga Kemurahan Hati),1567,1622,1877,"Uskup Jenewa, C.O."
19,20,Santo Sirilus dari Alexandria*,Doctor Incarnationis (Pujangga Inkarnasi),376,444,1883,Uskup Agung Aleksandria
20,21,Santo Sirilus dari Yerusalem*,,315,386,1883,Uskup Agung Yerusalem
21,22,Santo Yohanes dari Damaskus*,,676,749,1890,"Imam, biarawan"
22,23,Santo Beda Venerabilis*,Anglorum doctor (Pujangga Orang Inggris)[3],672,735,1899,"Imam, biarawan, O.S.B."
23,24,Santo Efrem*,,306,373,1920,DIakon
24,25,Santo Petrus Kanisius,,1521,1597,1925,"Imam, S.J."
25,26,Santo Yohanes Salib,Doctor mysticus (Pujangga Mistik),1542,1591,1926,"Imam, mistik, reformator O.C.D"
26,27,Santo Robertus Bellarminus,,1542,1621,1931,"Uskup Agung Capua, teolog, S.J."
27,28,Santo Albertus Agung,Doctor universalis (Pujangga Universal),1193,1280,1931,"Uskup Regensburg, teolog, O.P."
28,29,Santo Antonius dari Padua,Doctor evangelicus (Pujangga Injili),1195,1231,1946,"Imam, O.F.M."
29,30,Santo Laurensius dari Brindisi,Doctor apostolicus (Pujangga Apostolik),1559,1619,1959,"Imam, diplomat, O.F.M. Cap."
30,31,Santa Teresa dari Ávila,Doctor orationis (Pujangga Doa),1515,1582,1970,"Mistik, reformator O.C.D"
31,32,Santa Katarina dari Siena,,1347,1380,1970,"Mistik, O.P. (Dominikan Awam)"
32,33,Santa Theresia dari Lisieux,,1873,1897,1997,"Biarawati, O.C.D."
33,34,Santo Yohanes dari Ávila[2],,1500,1569,2012,"Imam, mistik"
34,35,Santa Hildegardis dari Bingen[2],,1098,1179,2012,"Visioner, teolog, komponis, polimatik, abdis, O.S.B."
35,36,Santo Gregorius dari Narek[4],,951,1003,2015,"Biarawan, penyair, filsuf mistik, teolog"
36,37,Santo Ireneus*[5],Doctor unitatis (Pujangga Persatuan)[6],130,202,2022,"Uskup, teolog, martir"
