,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a,K o i n   B o t s w a n a   p u l a
0,,1 thebe,Aluminum,18.5 mm,0.8 g,1.22 mm,Halus,1976–1991,1 Juli 2014
1,,2 thebe,Perunggu,17.4 mm (dodecagonal),1.8 g,1.05 mm,Hakus,1981–1985,1 Juli 2014
2,,5 thebe,Perunggu,19.5 mm,2.8 g,1.17 mm,Reeded,1976–1989,1 Juli 2014
3,,5 thebe,Perunggu-lapis baja,19.5 mm,2.8 g,1.28 mm,Halus atau bergerigi,1991–1996,1 Juli 2014
4,,5 thebe,Perunggu-lapis baja,17 mm (heptagonal),2.41 g,1.75 mm,Halus,1998–2009,1 Juli 2014
5,,5 thebe,Nikel-lapis baja,18 mm (heptagonal),2.218 g,1.3 mm,Halus,2013,Tidak
6,,10 thebe,Tembaga-nikel,22 mm,4 g,1.33 mm,Bergerigi,1976–1989,1 Juli 2014
7,,10 thebe,Nikel-lapis baja,22 mm,3.8 g,,Bergirigi,1991,1 Juli 2014
8,,10 thebe,Nikel-lapis baja,18 mm,2.8 g,1.75 mm,Bergerigi,1998–2008,1 Juli 2014
9,,10 thebe,Nikel-lapis baja,20 mm,2.8 g,1.4 mm,Bergerigi,2013,Tidak
10,,25 thebe,Tembaga-nikel,25 mm,5.8 g,,Bergerigi,1976–1989,1 Juli 2014
11,,25 thebe,Nikel-lapis baja,25 mm,5.73 g,,Bergerigi,1991,1 Juli 2014
12,,25 thebe,Nikel-lapis baja,20 mm (heptagonal),3.5 g,1.8 mm,Halus,1998–2009,1 Juli 2014
13,,25 thebe,Nikel-lapis baja,22 mm (heptagonal),4.2 g,1.6 mm,Halus,2013,Tidak
14,,50 thebe,Tembaga-nikel,28 mm,11.4 g,2.3 mm,Bergerigi,1976–1985,1 Juli 2014
15,,50 thebe,Tembaga-nikel,28 mm,11.4 g,2.3 mm,Bergerigi,1976–1985,1 Juli 2014
16,,50 thebe,Nikel-lapis baja,28 mm,11.4 g,,,1991,1 Juli 2014
17,,50 thebe,Nikel-lapis baja,21.3 mm,4.82 g,2.2 mm,Halus,1996–2001,1 Juli 2014
18,,50 thebe,Nikel-lapis baja,24 mm,5.3 g,1.8 mm,Bergerigi,2013,Tidak
19,,1 pula,Tembaga-nikel,29.5 mm; bergigi (dengan 12 takik),16.4 g,,Halus,1976–1987,1 Juli 2014
20,,1 pula,Nikel-kuningan,24 mm (heptagonal),8.8 g,2.7 mm,Tersegmentasi (10 buluh per 7 bagian),1991–2007,1 Juli 2014
21,,1 pula,Perunggu-lapis baja,26 mm,7.8 g,,Halus,2013–2016,Tidak
22,,2 pula,Nikel-kuningan,26.4 mm (heptagonal),6.3 g,2.4 mm,Tersegmentasi (19 buluh per 7 bagian),1994,1 Juli 2014
23,,2 pula,Kuningan-lapis baja,24.6 mm (heptagonal),6.02 g,2 mm,Tersegmentasi (19 buluh per 7 bagian),2004,1 Juli 2014
24,,2 pula,"Bi-logam; Baja lapis perunggu di tengah, baja lapis nikel di ring",27 mm,7.3 g,2 mm,Bergerigi,2013–2016,tidak
25,,5 pula,"Bi-logam; tembaga-nikel di tengah, kuningan di ring",23.5 mm,6 g,2 mm,Bergerigi,2000–2007,1 Juli 2014
26,,5 pula,"Bi-logam; tembaga-nikel di tengah, kuningan di ring",28 mm,8.7 g,2.2 mm,Tersegmentasi,2013–2016,tidak
