,0,1,2
0,Genus,Spesies,Nama virus (singkatan)
1,Lyssavirus,Aravan lyssavirus,Aravan virus (ARAV)
2,Lyssavirus,Australian bat lyssavirus,Australian bat lyssavirus (ABLV)
3,Lyssavirus,Bokeloh bat lyssavirus,Bokeloh bat lyssavirus (BBLV)
4,Lyssavirus,Duvenhage lyssavirus,Duvenhage virus (DUVV)
5,Lyssavirus,European bat 1 lyssavirus,European bat lyssavirus 1 (EBLV-1)
6,Lyssavirus,European bat 2 lyssavirus,European bat lyssavirus 2 (EBLV-2)
7,Lyssavirus,Gannoruwa bat lyssavirus,Gannoruwa bat lyssavirus (GBLV)
8,Lyssavirus,Ikoma lyssavirus,Ikoma lyssavirus (IKOV)
9,Lyssavirus,Irkut lyssavirus,Irkut virus (IRKV)
10,Lyssavirus,Khujand lyssavirus,Khujand virus (KHUV)
11,Lyssavirus,Lagos bat lyssavirus,Lagos bat virus (LBV)
12,Lyssavirus,Lleida bat lyssavirus,Lleida bat lyssavirus (LLEBV)
13,Lyssavirus,Mokola lyssavirus,Mokola virus (MOKV)
14,Lyssavirus,Rabies lyssavirus*,Rabies virus (RABV)
15,Lyssavirus,Shimoni bat lyssavirus,Shimoni bat virus (SHIBV)
16,Lyssavirus,West Caucasian bat lyssavirus,West Caucasian bat virus (WCBV)
