,R a c u n,P e n a w a r
0,Asetominofen,NAC(N-asetilsistein).[7]
1,Antikolinergik,Fisostigmin
2,"Antikoagulan (warfarin/coumadin, heparin)","Vitamin K1, protamin."
3,Benzodiazepina,"Perawatan pendukung, flumazenil"
4,Botulisme,Antitoksin botulinum
5,Penyekat beta,Glukagon
6,Penyekat saluran kanal kalsium,"Kalsium, Glukagon"
7,Kolinergik,"Atropin, Pralodixime dalam organofosfat dengan dosis berlebih"
8,Karbon monoksida,"Oksigen, Oksigen hiperbarat"
9,Sianida,"Amil Nitrat, Natrium Nitrat, Natrium Thiosulfat, Hidroksikobalamin"
10,Digitoksin,Antibodi Fab digoksin
11,Besi,Deferoksamin
12,Isoniazid,Piridoksin
13,Timbal,"BAL, EDTA, DMSA"
14,Methemoglobinemia,Methelene Biru
15,Opiod,Nalokson
16,Alkokol beracun,"Dialisis, Etanol Drip. Kemungkinan juga dapat menggunakan inhibitor enzim."
17,antidepresan trisiklik,Natrium bikarbonat
