,K o d e,N a m a,I b u   k o t a,T o t a l   P o p u l a s i,P r e s i d e n
0,1.,Grand Est,Strasbourg,5554645,Philippe Richert
1,2.,Nouvelle-Aquitaine,Bordeaux,5808594,Alain Rousset
2,3.,Auvergne-Rhône-Alpes,Lyon,7695264,Laurent Wauquiez
3,4.,Bourgogne-Franche-Comté,Dijon,2816814,Marie-Guite Dufay
4,5.,Bretagne,Rennes,3237097,Pierrick Massiot
5,6.,Centre-Val-de-Loire,Orléans,2538000,François Bonneau
6,7.,Île-de-France,Paris,12005077,Valérie Pécresse
7,8,Ositania,Toulouse,5626858,Carole Delga
8,9.,Hauts-de-France,Lille,5973098,Xavier Bertrand
9,10.,Pays de la Loire,Nantes,3553353,Bruno Retailleau
10,11.,Normandia,Rouen,3322757,Hervé Morin
11,12.,Provence-Alpes-Côte d'Azur (PACA),Marseille,4935576,Christian Estrosi
12,13.,Corsica,Ajaccio,326898,Gilles Simeoni
13,Region seberang laut,Region seberang laut,Region seberang laut,Region seberang laut,Region seberang laut
14,14.,Guadeloupe,Basse-Terre,402119,Ary Chalus
15,15.,Martinique,Fort-de-France,385.551,Alfred Marie-Jeanne
16,16.,Guyane,Cayenne,250.109,Rodolphe Alexandre
17,17.,Réunion,Saint-Denis,844994,Didier Robert
18,18.,Mayotte,Mamoudzou,212.645,Soibahadine Ibrahim Ramadani
