,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g,D a t a   i k l i m   B a n d a r   U d a r a   R o t t e r d a m   D e n   H a a g
0,Rekor tertinggi °C (°F),14.1 (57.4),16.7 (62.1),21.2 (70.2),26.7 (80.1),30.5 (86.9),32.8 (91),33.1 (91.6),34.9 (94.8),29.0 (84.2),24.8 (76.6),18.3 (64.9),15.1 (59.2),34.9 (94.8)
1,Rata-rata tertinggi °C (°F),6.0 (42.8),6.6 (43.9),9.9 (49.8),13.5 (56.3),17.5 (63.5),19.9 (67.8),22.2 (72),22.1 (71.8),18.9 (66),14.7 (58.5),9.9 (49.8),6.6 (43.9),14.0 (57.2)
2,Rata-rata harian °C (°F),3.6 (38.5),3.7 (38.7),6.4 (43.5),9.1 (48.4),12.9 (55.2),15.5 (59.9),17.8 (64),17.6 (63.7),14.8 (58.6),11.2 (52.2),7.3 (45.1),4.2 (39.6),10.4 (50.7)
3,Rata-rata terendah °C (°F),0.8 (33.4),0.5 (32.9),2.6 (36.7),4.3 (39.7),7.8 (46),10.6 (51.1),13.1 (55.6),12.8 (55),10.6 (51.1),7.5 (45.5),4.2 (39.6),1.4 (34.5),6.4 (43.5)
4,Rekor terendah °C (°F),−17.1 (1.2),−13.8 (7.2),−11.4 (11.5),−6.0 (21.2),−1.4 (29.5),0.5 (32.9),3.6 (38.5),4.6 (40.3),0.4 (32.7),−5.1 (22.8),−7.5 (18.5),−13.3 (8.1),−17.1 (1.2)
5,Presipitasi mm (inci),69.1 (2.72),57.9 (2.28),64.9 (2.555),42.6 (1.677),58.3 (2.295),65.2 (2.567),74.0 (2.913),81.0 (3.189),87.1 (3.429),90.1 (3.547),87.1 (3.429),78.3 (3.083),855.6 (33.685)
6,Rata-rata hari hujan atau bersalju (≥ 1 mm),12,10,12,9,9,10,10,10,12,12,13,13,132
7,Rata-rata hari bersalju,6,5,4,2,0,0,0,0,0,0,2,4,23
8,% kelembapan,88,85,83,78,77,79,79,80,84,86,89,89,83.1
9,Rata-rata sinar matahari bulanan,62.5,83.8,124.0,174.9,213.9,203.6,213.1,196.6,137.6,106.9,60.4,46.7,"1.623,8"
