,0,1,2,3,4,5,6,7,8,9,1 0,1 1
0,Bahasa Indonesia,Bahasa Inggris,Bahasa Afrikaans,Bahasa Denmark,Bahasa Faeroer,Bahasa Belanda,Bahasa Jerman,Bahasa Gotik,Bahasa Islandia,Bahasa Skotlandia,Bahasa Swedia,Bahasa Yiddish
1,Apel,Apple,Appel,Æble,Súrepli,Appel,Apfel,Aplus,Epli,Aiple,Äpple,Epl
2,Papan,Board,Bord,Bræt,Borð,Bord,Brett,baúrd,borð,Buird,Bräde,
3,Buku,Book,Boek,Bog,Bók,Boek,Buch,Bóka,Bók,Beuk,Bok,Bukh
4,Dada,Breast,Bors,Bryst,Bróst,Borst,Brust,Brusts,brjóst,Breest,Bröst,Brust
5,Coklat,Brown,Bruin,Brun,Brúnt,Bruin,Braun,Bruns,Brúnn,Broun,Brun,
6,Hari,Day,Dag,Dag,Dagur,Dag,Tag,Dags,Dag,Day,Dag,Tog
7,Mati,Die,Sterf,Dø,Doyggja,Sterven,Sterben,Diwan,deyja,Dee,Dö,
8,Cukup,Enough,Genoeg,Nok,Nógmikið,Genoeg,Genug,Ga-nóhs,Nóg,Eneuch,Nog,Genug
9,Beri,Give,Gee,Give,Geva,Geven,Geben,Giban,Gefa,Gie,Giva,Geben
10,Kaca/Gelas,Glass,Glas,Glas,Glas,Glas,Glas,,Glas,Gless,Glas,Gloz
11,Emas,Gold,Goud,Guld,Gull,Goud,Gold,Gulþ,Gull,Gowd,Guld,
12,Tangan,Hand,Hand,Hånd,Hond,Hand,Hand,Handus,Hönd,Haund,Hand,Hant
13,Kepala,Head,Kop,Hoved,Høvur,Hoofd,Haupt/Kopf,Háubiþ,höfuð,Heid,Huvud,Kop
14,Tinggi,High,Hoog,Høj,Høgur,Hoog,Hoch,Háuh,Hár,Heich,Hög,Hoykh
15,Rumah,Home,Heim,Hjem,Heim,Thuis,Heim,Háimóþ,Heim,Hame,Hem,Heym
16,Kait,Hook,Haak,,Húkur,Haak,Haken,,Krókur,Heuk,Haka,
17,Rumah,House,Huis,Hus,Hús,Huis,Haus,Hús,Hús,Hoose,Hus,Hoyz
18,Banyak,Many,Menige,Mange,Mangt,Menig,Viel,Manags,mikið,Mony,Många,
19,Bulan,Moon,Maan,Måne,Máni,Maan,Mond,Ména,Tungl,Muin,Måne,Levone
20,Malam,Night,Nag,Nat,Nátt,Nacht,Nacht,Nahts,Nótt,Nicht,Natt,Nakht
21,Tidak,No,Nee,Nej,Nei,Nee,Nein/Nö,Né,Neita,Nae,Nej,Neyn
22,Tua,Old,Oud,Gammel,Gamal,Oud,Alt,Sineigs,Gamall,Auld,Gammal,Alt
23,Satu,One,Een,En,Ein,Een,Eins,Áins,Eitt,Ane,En,Eyn
24,Ons,Ounce,Ons,,,Ons,Unze,,Únsa,Unce,Uns,
25,Salju,Snow,Sneeu,Sne,"Snjógvur, Kavi",Sneeuw,Schnee,Snáiws,Snjór,Snaw,Snö,Schney
26,Batu,Stone,Steen,Sten,Steinur,Steen,Stein,Stáins,Steinn,Stane,Sten,
27,Itu,That,Dat,Det,Tað,Dat,Das,Þata,Þetta,That,Det,Dos
28,Dua,Two,Twee,To,Tvey,Twee,Zwei,Twái,Tveir,Twa,Två,Tsvey
29,Siapa,Who,Wie,Hvem,Hvør,Wie,Wer,Has,Hver,Wha,Vem,Ver
30,Cacing,Worm,Wurm,Orm,Ormur,Worm,Wurm,Maþa,ormur,Wirm,Mask,Worem
