,K o d e   I N S E E,K o d e   p o s,K o m u n e
0,86001,86430,Adriers
1,86002,86110,Amberre
2,86003,86700,Anché
3,86004,86260,Angles-sur-l'Anglin
4,86005,86330,Angliers
5,86006,86310,Antigny
6,86007,86100,Antran
7,86008,86200,Arçay
8,86009,86210,Archigny (CAC)
9,86010,86340,Aslonnes
10,86011,86430,Asnières-sur-Blour
11,86012,86250,Asnois
12,86013,86330,Aulnay
13,86014,86530,Availles-en-Châtellerault (CAC)
14,86015,86460,Availles-Limouzine
15,86016,86170,Avanton
16,86017,86190,Ayron
17,86018,86200,Basses
18,86019,86490,Beaumont
19,86020,86210,Bellefonds
20,86021,86470,Benassay
21,86022,86120,Berrie
22,86023,86420,Berthegon
23,86024,86190,Béruges
24,86025,86310,Béthines
25,86026,86120,Beuxes
26,86027,86580,Biard (CAP)
27,86028,86800,Bignoux
28,86029,86400,Blanzay
29,86030,86170,Blaslay
30,86031,86300,Bonnes
31,86032,86210,Bonneuil-Matours (CAC)
32,86034,86410,Bouresse
33,86035,86390,Bourg-Archambault
34,86036,86120,Bournand
35,86037,86290,Brigueil-le-Chantre
36,86038,86160,Brion
37,86039,86510,Brux
38,86040,86310,La Bussière
39,86041,86180,Buxerolles (CAP)
40,86042,37160,Buxeuil
41,86043,86700,Ceaux-en-Couhé
42,86044,86200,Ceaux-en-Loudun
43,86045,86600,Celle-Lévescault
44,86046,86530,Cenon-sur-Vienne (CAC)
45,86047,86140,Cernay
46,86048,86380,Chabournay
47,86049,86200,Chalais
48,86050,86190,Chalandray
49,86051,86510,Champagné-le-Sec
50,86052,86160,Champagné-Saint-Hilaire
51,86053,86170,Champigny-le-Sec
52,86054,86400,Champniers
53,86055,86250,La Chapelle-Bâton
54,86056,86470,La Chapelle-Montreuil
55,86058,86210,La Chapelle-Moulière
56,86059,86300,Chapelle-Viviers
57,86060,86170,Charrais
58,86061,86250,Charroux
59,86062,86360,Chasseneuil-du-Poitou (CAP)
60,86063,86250,Chatain
61,86064,86350,Château-Garnier
62,86065,86370,Château-Larcher
63,86066,86100,Châtellerault (CAC)
64,86067,86700,Châtillon
65,86068,86510,Chaunay
66,86069,86330,La Chaussée
67,86070,86300,Chauvigny
68,86071,86380,Cheneché
69,86072,86450,Chenevelles
70,86073,86170,Cherves
71,86074,86190,Chiré-en-Montreuil
72,86075,86110,Chouppes
73,86076,86170,Cissé
74,86077,86320,Civaux
75,86078,86400,Civray
76,86080,86600,Cloué
77,86081,86490,Colombiers (CAC)
78,86082,86700,Couhé
79,86083,86600,Coulombiers
80,86084,86290,Coulonges
81,86085,86110,Coussay
82,86086,86270,Coussay-les-Bois
83,86087,86110,Craon
84,86088,86240,Croutelle
85,86089,86110,Cuhon
86,86090,86120,Curçay-sur-Dive
87,86091,86600,Curzay-sur-Vonne
88,86092,86220,Dangé-Saint-Romain
89,86093,86420,Dercé
90,86094,86410,Dienné
91,86095,86130,Dissay
92,86096,86140,Doussay
93,86097,86160,La Ferrière-Airoux
94,86098,86300,Fleix
95,86099,86340,Fleuré
96,86100,86240,Fontaine-le-Comte (CAP)
97,86102,86190,Frozes
98,86103,86160,Gençay
99,86104,86250,Genouillé
100,86105,86340,Gizay
101,86106,86200,Glénouze
102,86107,86320,Gouex
103,86108,86330,La Grimaudière
104,86109,86420,Guesnes
105,86110,86310,Haims
106,86111,86220,Ingrandes
107,86112,86150,L'Isle-Jourdain
108,86113,86240,Iteuil
109,86114,86800,Jardres
110,86115,86130,Jaunay-Clan
111,86116,86600,Jazeneuil
112,86117,86500,Jouhet
113,86118,86290,Journet
114,86119,86350,Joussé
115,86120,86390,Lathus-Saint-Rémy
116,86121,86190,Latillé
117,86122,86300,Lauthiers
118,86123,86470,Lavausseau
119,86124,86800,Lavoux
120,86125,86450,Leigné-les-Bois
121,86126,86300,Leignes-sur-Fontaine
122,86127,86230,Leigné-sur-Usseau
123,86128,86140,Lencloître
124,86129,86270,Lésigny
125,86130,86220,Leugny
126,86131,86410,Lhommaizé
127,86132,86290,Liglet
128,86133,86240,Ligugé
129,86134,86400,Linazay
130,86135,86800,Liniers
131,86136,86400,Lizant
132,86137,86200,Loudun
133,86138,86430,Luchapt
134,86139,86600,Lusignan
135,86140,86320,Lussac-les-Châteaux
136,86141,86160,Magné
137,86142,86190,Maillé
138,86143,86270,Mairé
139,86144,86170,Maisonneuve
140,86145,86370,Marçay
