,"D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )","D a t a   i k l i m   B a n d a r   U d a r a   I n t e r n a s i o n a l   P a g o   P a g o ,   P a g o   P a g o   ( 1 9 9 1 – 2 0 2 0   n o r m a l ,   e k s t r i m   1 9 5 7 – s e k a r a n g )"
0,Rekor tertinggi °F (°C),95 (35),99 (37),95 (35),95 (35),93 (34),95 (35),91 (33),92 (33),92 (33),94 (34),95 (35),94 (34),99 (37)
1,Rata-rata tertinggi °F (°C),87.8 (31),88.1 (31.2),88.4 (31.3),87.8 (31),86.5 (30.3),85.3 (29.6),84.6 (29.2),84.8 (29.3),85.7 (29.8),86.4 (30.2),87.0 (30.6),87.6 (30.9),86.7 (30.4)
2,Rata-rata harian °F (°C),83.0 (28.3),83.2 (28.4),83.3 (28.5),83.0 (28.3),82.2 (27.9),81.5 (27.5),80.9 (27.2),80.9 (27.2),81.6 (27.6),82.1 (27.8),82.5 (28.1),82.9 (28.3),82.3 (27.9)
3,Rata-rata terendah °F (°C),78.2 (25.7),78.3 (25.7),78.2 (25.7),78.1 (25.6),77.9 (25.5),77.8 (25.4),77.2 (25.1),77.0 (25),77.5 (25.3),77.7 (25.4),78.0 (25.6),78.2 (25.7),77.8 (25.4)
4,Rekor terendah °F (°C),67 (19),65 (18),63 (17),68 (20),65 (18),61 (16),62 (17),60 (16),62 (17),59 (15),60 (16),65 (18),59 (15)
5,Presipitasi inci (mm),15.25 (387.3),13.70 (348),10.95 (278.1),11.27 (286.3),11.73 (297.9),6.37 (161.8),7.51 (190.8),6.93 (176),7.99 (202.9),10.24 (260.1),12.05 (306.1),14.35 (364.5),"128,34 (3.259,8)"
6,Rata-rata hari hujan atau bersalju (≥ 0.01 in),24.3,22.0,23.8,22.2,20.8,18.8,20.0,19.0,18.4,21.1,21.3,23.8,255.5
7,% kelembapan,82.8,83.3,83.2,84.0,83.6,82.0,80.4,79.8,80.2,81.5,82.3,82.1,82.1
8,Rata-rata sinar matahari bulanan,165.3,150.3,179.2,132.2,123.3,113.7,148.0,168.0,196.0,159.6,156.7,156.8,"1.849,1"
9,Kemungkinan sinar matahari (persen),41,43,48,37,35,34,42,47,54,41,41,39,42
10,Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16],Sumber: NOAA (relative humidity and sun 1961–1990)[14][15][16]
