,"D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )","D a t a   i k l i m   S a p p o r o ,   J a p a n   ( 1 9 8 1 - 2 0 1 0 )"
0,Rekor tertinggi °C (°F),11.2 (52.2),10.8 (51.4),16.8 (62.2),28.0 (82.4),31.1 (88),31.9 (89.4),36.0 (96.8),36.2 (97.2),32.7 (90.9),26.4 (79.5),22.4 (72.3),14.8 (58.6),36.2 (97.2)
1,Rata-rata tertinggi °C (°F),−0.6 (30.9),0.1 (32.2),4.0 (39.2),11.5 (52.7),17.3 (63.1),21.5 (70.7),24.9 (76.8),26.4 (79.5),22.4 (72.3),16.2 (61.2),8.5 (47.3),2.1 (35.8),12.9 (55.2)
2,Rata-rata harian °C (°F),−3.6 (25.5),−3.1 (26.4),0.6 (33.1),7.1 (44.8),12.4 (54.3),16.7 (62.1),20.5 (68.9),22.3 (72.1),18.1 (64.6),11.8 (53.2),4.9 (40.8),−0.9 (30.4),8.9 (48)
3,Rata-rata terendah °C (°F),−7 (19),−6.6 (20.1),−2.9 (26.8),3.2 (37.8),8.3 (46.9),12.9 (55.2),17.3 (63.1),19.1 (66.4),14.2 (57.6),7.5 (45.5),1.3 (34.3),−4.1 (24.6),5.3 (41.5)
4,Rekor terendah °C (°F),−27 (−17),−28.5 (−19.3),−22.6 (−8.7),−14.6 (5.7),−4.2 (24.4),0.0 (32),5.2 (41.4),5.3 (41.5),−0.9 (30.4),−5.8 (21.6),−15.5 (4.1),−23.9 (−11),−28.5 (−19.3)
5,Presipitasi mm (inci),113.6 (4.472),94.0 (3.701),77.8 (3.063),56.8 (2.236),53.1 (2.091),46.8 (1.843),81.0 (3.189),123.8 (4.874),135.2 (5.323),108.7 (4.28),104.1 (4.098),111.7 (4.398),"1.106,5 (43,563)"
6,Curah salju cm (inci),173 (68.1),147 (57.9),98 (38.6),11 (4.3),0 (0),0 (0),0 (0),0 (0),0 (0),2 (0.8),32 (12.6),132 (52),597 (235)
7,Rata-rata hari bersalju,28.8,25.4,23.5,6.4,0.1,0.0,0.0,0.0,0.0,1.2,13.9,26.5,125.8
8,% kelembapan,70,69,66,62,66,72,76,75,71,67,67,69,69
9,Rata-rata sinar matahari bulanan,92.5,104.0,146.6,176.5,198.4,187.8,164.9,171.0,160.5,152.3,100.0,85.9,"1.740,4"
10,Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11],Sumber: [11]
