,O b j e k,P a n j a n g   a t a u   j a r a k   ( A U ),J a n g k a u a n,K e t e r a n g a n   d a n   t i t i k   a c u a n,R e f
0,Detik-cahaya,0002,–,jarak yang ditempuh cahaya dalam satu detik,–
1,Jarak bulan,00026,–,jarak rata-rata dari Bumi,–
2,Radius matahari,0005,–,"jari-jari Matahari (695.500 km, 432.450 mi, seratus kali jari-jari Bumi atau sepuluh kali jari-jari rata-rata Jupiter)",–
3,Menit-cahaya,012,–,jarak yang ditempuh cahaya dalam satu menit,–
4,Merkurius,039,–,jarak rata-rata dari Matahari,–
5,Venus,072,–,jarak rata-rata dari Matahari,–
6,Bumi,100,–,jarak rata-rata orbit Bumi dari Matahari (sinar matahari bergerak selama 8 menit dan 19 detik sebelum mencapai Bumi),–
7,Mars,152,–,jarak rata-rata dari Matahari,–
8,Jam-cahaya,72,–,jarak yang ditempuh cahaya dalam satu jam,–
9,Sabuk Kuiper,30,–,Tepi bagian dalam dimulai sekitar 30 AU,[6]
10,Hari-cahaya,173,–,jarak yang ditempuh cahaya dalam satu hari,–
11,Tahun-cahaya,63.241,–,"jarak yang ditempuh cahaya dalam satu tahun Julian (365,25 hari)",–
12,Awan Oort,75.000,± 25.000,"jarak batas terluar awan Oort dari Matahari (diperkirakan, sama dengan 1,2 tahun cahaya)",–
13,Parsec,206.265,–,"satu parsec (Parsec didefinisikan berdasarkan satuan astronomi, digunakan untuk mengukur jarak di luar Tata Surya dan sekitar 3,26 tahun cahaya.)",[7]
14,Proxima Centauri,268.000,± 126,jarak dari Tata Surya ke bintang terdekat,–
15,Pusat Galaksi,1.700.000.000,–,jarak dari Matahari ke pusat Bima Sakti,–
16,"Catatan: angka-angka dalam tabel ini umumnya pembulatan, perkiraan, sering kali perkiraan kasar, dan mungkin sangat berbeda dari sumber lain. Tabel juga mencakup satuan panjang lain untuk perbandingan.","Catatan: angka-angka dalam tabel ini umumnya pembulatan, perkiraan, sering kali perkiraan kasar, dan mungkin sangat berbeda dari sumber lain. Tabel juga mencakup satuan panjang lain untuk perbandingan.","Catatan: angka-angka dalam tabel ini umumnya pembulatan, perkiraan, sering kali perkiraan kasar, dan mungkin sangat berbeda dari sumber lain. Tabel juga mencakup satuan panjang lain untuk perbandingan.","Catatan: angka-angka dalam tabel ini umumnya pembulatan, perkiraan, sering kali perkiraan kasar, dan mungkin sangat berbeda dari sumber lain. Tabel juga mencakup satuan panjang lain untuk perbandingan.","Catatan: angka-angka dalam tabel ini umumnya pembulatan, perkiraan, sering kali perkiraan kasar, dan mungkin sangat berbeda dari sumber lain. Tabel juga mencakup satuan panjang lain untuk perbandingan."
