,N a m a,S i m b o l,B e s a r a n,S a t u a n   y a n g   s e t a r a,S a t u a n   p o k o k   S I   y a n g   s e t a r a
0,radian,rad,sudut bangun datar,m/m,1
1,steradian,sr,sudut ruang,m2/m2,1
2,hertz,Hz,frekuensi,1/s,s−1
3,newton,N,"gaya, berat",kg⋅m/s2,kg⋅m⋅s−2
4,pascal,Pa,"tekanan, tegangan",N/m2,kg⋅m−1⋅s−2
5,joule,J,"energi, usaha, kalor","m⋅N, C⋅V, W⋅s",kg⋅m2⋅s−2
6,watt,W,"daya, fluks radian","J/s, V⋅A",kg⋅m2⋅s−3
7,coulomb,C,muatan listrik atau besaran kelistrikan,"s⋅A, F⋅V",s⋅A
8,volt,V,"tegangan listrik atau voltase, perbedaan potensial listrik, gaya gerak listrik","W/A, J/C",kg⋅m2⋅s−3⋅A−1
9,farad,F,kapasitansi listrik,"C/V, s/Ω",kg−1⋅m−2⋅s4⋅A2
10,ohm,Ω,"hambatan listrik, impedansi, reaktansi","1/S, V/A",kg⋅m2⋅s−3⋅A−2
11,siemens,S,konduktansi listrik,"1/Ω, A/V",kg−1⋅m−2⋅s3⋅A2
12,weber,Wb,fluks magnetik,"J/A, T⋅m2,V⋅s",kg⋅m2⋅s−2⋅A−1
13,tesla,T,"induksi magnetik, kerapatan fluks magnetik","V⋅s/m2, Wb/m2, N/(A⋅m)",kg⋅s−2⋅A−1
14,henry,H,induktansi listrik,"V⋅s/A, Ω⋅s, Wb/A",kg⋅m2⋅s−2⋅A−2
15,derajat celsius,°C,"suhu relatif terhadap 273,15 K",K,K
16,lumen,lm,fluks cahaya,cd⋅sr,cd
17,lux,lx,iluminansi,lm/m2,cd⋅m−2
18,becquerel,Bq,radioaktivitas (peluruhan per satuan waktu),1/s,s−1
19,gray,Gy,dosis serap (dari radiasi pengion),J/kg,m2⋅s−2
20,sievert,Sv,dosis ekuivalen (dari radiasi pengion),J/kg,m2⋅s−2
21,katal,kat,aktivitas katalitis,mol/s,s−1⋅mol
