,S a y u r a n   u m u m,S a y u r a n   u m u m,S a y u r a n   u m u m,S a y u r a n   u m u m,S a y u r a n   u m u m
0,,Brassica oleracea (Brassicaceae),"daun, kuncup, batang, kepala bunga",Eropa,"Kubis, Kubis brussel, Kembang kol, Brokoli, Kubis keriting, Kohlrabi, Kubis putih, Kubis merah, Kubis savoy, Brokoli Cina (Kailan), Sawi hijau"
1,,Brassica rapa,"akar, daun",Asia,"Lobak cina, Kubis tiongkok, Sawi putih, Pakcoy (bok choy)"
2,,Raphanus sativus,"akar, daun, polong biji, minyak biji, tunas",Asia Tenggara,"Lobak, daikon, varietas polong biji"
3,,Daucus carota,"akar, daun, batang",Persia,Wortel
4,,Pastinaca sativa,akar,Eurasia,Ubi
5,,Beta vulgaris,"akar, daun",Eropa dan Timur Dekat,"Akar Bit, Bit Laut, Lobak Swiss, Bit Gula"
6,,Lactuca sativa,"daun, batang, minyak biji",Mesir,"Selada, Selada Batang"
7,,"Phaseolus vulgaris, Phaseolus coccineus, Phaseolus lunatus","polong, biji",Amerika Tengah dan Selatan,"Kacang Hijau, Kacang Perancis, Kacang Runner, Kacang Haricot, Kacang Lima"
8,,Vicia faba,"polong, biji",Mediterania dan Timur Tengah,Kacang Panjang
9,,Pisum sativum,"polong, biji, kecambah",Mediterania dan Timur Tengah,"Ercis, Kapri, Buncis"
10,,Solanum tuberosum,umbi-umbian,Amerika Selatan,Kentang
11,,Solanum melongena,buah-buahan,Asia Selatan dan Timur,Terong
12,,Solanum lycopersicum,buah-buahan,Amerika Selatan,Tomat
13,,Cucumis sativus,buah-buahan,Asia Selatan,Ketimun
14,,Cucurbita spp.,"buah-buahan, bunga",Mesoamerika,Labu
15,,Allium cepa,"umbi, daun",Asia,"Bawang, Bawang Bombai, Bawang Merah, Daun Bawang"
16,,Allium sativum,umbi,Asia,Bawang putih
17,,Allium ampeloprasum,sarung daun,Eropa dan Timur Tengah,"Daun Bawang, Bawang Putih Gajah"
18,,Capsicum annuum,buah-buahan,Amerika Utara dan Selatan,Paprika
19,,Spinacia oleracea,dedaunan,Asia Tengah dan Barat Daya,"Bayam, Bayam Jepang"
20,,Dioscorea spp.,umbi-umbian,Afrika Tropis,Yam (Uwi)
21,,Ipomoea batatas,"umbi, daun, pucuk",Amerika Tengah dan Selatan,Ubi Jalar
22,,Manihot esculenta,umbi-umbian,Amerika Selatan,Singkong
