,A n g g o t a,P o p u l a s i ( 2 0 2 0 ),L u a s ( k m 2 ),A r e a   Z E E ( k m 2 ),"P D B   p e r   k a p i t a ( U S D ,   2 0 2 0 )",M a t a   u a n g,K e a n g g o t a a n   P B B,N e g a r a   B e r d a u l a t   / T e r k a i t   d e n g a n,S t a t u s,T a n g g a l   p e n e r i m a a n
0,Amerika Serikat,324000000,9800000,11700000.0,"$55,800",USD,Ya,,,1947
1,Australia,25882100,7692024,8148250.0,"$53,321",AUD,Ya,,,1947
2,Britania Raya,66000000,242495,6805586.0,"$40,284",GBP,Ya,,,2021
3,Federasi Mikronesia,105503,701,2996420.0,"$3,830",USD,Ya,Amerika Serikat,Negara Berasosiasi Bebas,1983
4,Fiji,926276,18276,1282980.0,"$6,152",FJD,Ya,,,1971
5,Guam,168801,540,221504.0,"$34,153",USD,Tidak,Amerika Serikat,Wilayah Tak Berbadan Terorganisir,1983
6,Kaledonia Baru,273015,18576,1422540.0,"$37,448",XPF,Tidak,Prancis,Kolektivitas Sui Generis,1983
7,Kepulauan Cook,17459,237,1830000.0,"$24,913",NZD,Tidak,Selandia Baru,Negara Berasosiasi Bebas,1980
8,Kepulauan Mariana Utara,56608,464,749268.0,"$23,550",USD,Tidak,Amerika Serikat,Persemakmuran,1983
9,Kepulauan Marshall,54590,181,1990530.0,"$4,337",USD,Ya,Amerika Serikat,Negara Berasosiasi Bebas,1983
10,Kepulauan Pitcairn,50,47,836108.0,,NZD,No,Britania Raya,Wilayah Seberang Laut,1983
11,Kepulauan Solomon,712071,28230,1553440.0,"$2,295",SBD,Ya,,,1978
12,Kiribati,119940,811,3441810.0,"$1,636",AUD,Ya,,,1983
13,Nauru,11690,21,308480.0,"$11,666",AUD,Ya,,,1969
14,Niue,1562,261,450000.0,"$18,757",NZD,Tidak,Selandia Baru,Negara Berasosiasi Bebas,1980
15,Palau,17930,444,603978.0,"$2,854",USD,Ya,Amerika Serikat,Negara Berasosiasi Bebas,1983
16,Papua Nugini,8934475,462840,2402290.0,"$2,854",PGK,Ya,,,1975
17,Polinesia Prancis,275918,4167,4767240.0,"$22,308",XPF,Tidak,Prancis,Negara seberang laut,1983
18,Prancis,67100000,675000,1100000.0,"$49,435",EUR,Ya,,,1947
19,Samoa,198646,2934,127950.0,"$4,284",SAT,Ya,,,1965
20,Samoa Amerika,56813,200,404391.0,"$11,245",USD,No,Amerika Serikat,Wilayah Tak Berbadan Terorganisir,1983
21,Selandia Baru,4900000,270500,4000000.0,"$43,953",NZD,Ya,,,1947
22,Tokelau,1506,12,319031.0,"$6,882",NZD,Tidak,Selandia Baru,Wilayah dependensi,1983
23,Tonga,99780,749,659558.0,"$5,081",TOP,Ya,,,1983
24,Tuvalu,10580,26,749790.0,"$4,223",AUD,Ya,,,1978
25,Vanuatu,294688,12281,663251.0,"$3,260",VUV,Ya,,,1983
26,Wallis dan Futuna,11441,142,258269.0,"$12,848",XPF,Tidak,Prancis,Kolektivitas Luar Negeri,1983
