,D a t e,H a r i   l i b u r   u m u m [ 3 2 5 ]
0,1 Januari1,Tahun Baru
1,2 Januari2,Sehari setelah Tahun Baru
2,6 Februari,Hari Waitangi
3,Jumat sebelum Paskah,Jumat Agung
4,Sehari setelah Senin Paskah,Senin Paskah
5,25 April,Hari ANZAC
6,Senin pertama pada bulan Juni,Hari Kelahiran Ratu
7,Senin keempat pada bulan Oktober,Hari buruh
8,25 Desember1,Natal
9,26 Desember2,Natal kedua (Boxing Day)
10,(1) atau Senin berikutnya jika ia jatuh pada hari Sabtu atau Minggu,(1) atau Senin berikutnya jika ia jatuh pada hari Sabtu atau Minggu
11,"(2) atau Senin berikutnya jika ia jatuh pada hari Sabtu, atau Selasa berikutnya jika ia jatuh pada hari Minggu","(2) atau Senin berikutnya jika ia jatuh pada hari Sabtu, atau Selasa berikutnya jika ia jatuh pada hari Minggu"
