,B a g i a n,D a e r a h,S u b d a e r a h
0,Kuching,Kuching,Padawan
1,Kuching,Bau,Bau
2,Kuching,Lundu,Sematan
3,Samarahan,Samarahan,Samarahan
4,Samarahan,Asajaya,Asajaya
5,Samarahan,Simunjan,Sebuyau
6,Serian[77],Serian,Siburan
7,Serian[77],Tebedu,Tebedu
8,Sri Aman,Sri Aman,Lingga
9,Sri Aman,Sri Aman,Pantu
10,Sri Aman,Lubok Antu,Engkilili
11,Betong,Betong,Spaoh
12,Betong,Betong,Debak
13,Betong,Saratok,Budu
14,Betong,Pusa,Maludam
15,Betong,Kabong,Roban
16,Sarikei,Sarikei,Sarikei
17,Sarikei,Meradong,Meradong
18,Sarikei,Julau,Julau
19,Sarikei,Pakan,Pakan
20,Mukah,Mukah,Balingian
21,Mukah,Dalat,Oya
22,Mukah,Matu,Igan
23,Mukah,Daro,Daro
24,Mukah,Tanjung Manis,Tanjung Manis
25,Sibu,Sibu,Sibu
26,Sibu,Kanowit,Kanowit
27,Sibu,Selangau,Selangau
28,Kapit,Kapit,Nanga Merit
29,Kapit,Song,Song
30,Kapit,Belaga,Sungai Asap
31,Kapit,Bukit Mabong,Bukit Mabong
32,Bintulu,Bintulu,Bintulu
33,Bintulu,Tatau,Tatau
34,Bintulu,Sebauh,Sebauh
35,Miri,Miri,Bario
36,Miri,Marudi,Mulu
37,Miri,Subis,Niah-Suai
38,Miri,Beluru,Tinjar
39,Miri,Telang Usan,Long Lama
40,Miri,Telang Usan,Long Bedian
41,Limbang,Limbang,Nanga Medamit
42,Limbang,Lawas,Sundar
43,Limbang,Lawas,Trusan
