,G e n e r a s i,N a m a   p e j a b a t,M a s a   p e m e r i n t a h a n
0,1.0,Hōjō Tokimasa,1199 - 1205
1,2.0,Hōjō Yoshitoki,1205 - 1224
2,3.0,Hōjō Yasutoki,1224 - 1242
3,4.0,Hōjō Tsunetoki,1242 - 1246
4,5.0,Hōjō Tokiyori,1246 - 1256
5,6.0,Hōjō Nagatoki,1256 - 1264
6,7.0,Hōjō Masamura,1264 - 1268
7,8.0,Hōjō Tokimune,1268 - 1284
8,9.0,Hōjō Sadatoki,1284 - 1301
9,10.0,Hōjō Morotoki,1301 - 1311
10,11.0,Hōjō Munenobu,1311 - 1312
11,12.0,Hōjō Hirotoki,1312 - 1315
12,13.0,Hōjō Mototoki,1315 - 1316
13,14.0,Hōjō Takatoki,1316 - 1326
14,15.0,Hōjō Sadaaki,1326
15,16.0,Hōjō Moritoki,1326 - 1333
