,S h i o,C a b a n g   B u m i,Y i n   d a n   Y a n g,T r i m u r t i,E l e m e n   t e t a p
0,"Tikus (鼠, Shǔ)",zǐ (子),Yin,1,Air
1,"Kerbau (牛, Niu)",chǒu (丑),Yin,2,Tanah
2,"Macan (虎, Hǔ)",yín (寅),Yang,3,Kayu
3,"Kelinci (兔, Tù)",mǎo (卯),Yin,4,Kayu
4,"Naga (龙, Lóng)",chén (辰),Yang,1,Tanah
5,"Ular (蛇, Shé)",sì (巳),Yang,2,Api
6,"Kuda (马, Mǎ)",wǔ (午),Yin,3,Api
7,"Kambing (羊, Yang)",wèi (未),Yin,4,Tanah
8,"Monyet (猴, Hóu)",shēn (申),Yang,1,Logam
9,"Ayam (鸡, Jī)",yǒu (酉),Yin,2,Logam
10,"Anjing (狗, Gǒu)",xū (戌),Yang,3,Tanah
11,"Babi (猪, Zhū)",hài (亥),Yang,4,Air
