,K e l e n j a r,K e l e n j a r . 1,H o r m o n   y a n g   d i h a s i l k a n
0,Hipotalamus,Hipotalamus,"Corticotropin Releasing Hormone (CRH), Gonadotropin Releasing Hormone (GnRH), Tryrotropin Releasing Hormone (TRH), Growth Hormone Releasing Hormone (GHRH), Prolactin Inhibitory Factor / Dopamin Somatostatin (SS)"
1,Hipofisis (Pituitari),Adenohipofisis (Pituitari anterior),Thyroid Stimulating Hormone (TSH) / Tirotopin
2,Hipofisis (Pituitari),Adenohipofisis (Pituitari anterior),Adrenocorticotropin Hormone (ACTH) / Corticotropin
3,Hipofisis (Pituitari),Adenohipofisis (Pituitari anterior),Luteinizing Hormone (LH) / Interstitial Cell Stimulating Hormone (ICSH)
4,Hipofisis (Pituitari),Adenohipofisis (Pituitari anterior),Follicle Stimulating Hormone (FSH)
5,Hipofisis (Pituitari),Adenohipofisis (Pituitari anterior),Somatotropin Hormone / Growth Hormone (GH)
6,Hipofisis (Pituitari),Adenohipofisis (Pituitari anterior),Prolaktin (PRL)
7,Hipofisis (Pituitari),Hipofisis bagian Tengah (Lobus intermediate),Melanotropin Stimulating Hormone (MSH)
8,Hipofisis (Pituitari),Neurohipofisis (Pituitari posterior),Antidiuretic Hormone / Vasopresin
9,Hipofisis (Pituitari),Neurohipofisis (Pituitari posterior),Oksitosin
10,Tiroid,Tiroid,"Tiroksin (T4), Triiodotrionin (T3) dan Kalsitonin"
11,Paratiroid,Paratiroid,Parathormon (PTH)
12,Pankreas,Pulau-pulau Langerhans,Insulin dan Glukagon
13,Adrenal,Korteks adrenal,Kortisol dan Aldosteron
14,Adrenal,Medula adrenal,Adrenalin
15,Ovarium,Ovarium,"Estrogen, Progesteron, dan Relaksin"
16,Testis,Testis,Testosteron
17,Timus,Timus,"Hormon thymic (thymopoetin, timosin)"
18,Pineal,Pineal,Melatonin
