,S i s t e m   o r g a n,D e s k r i p s i,O r g a n   k o m p o n e n
0,Sistem pernapasan,bernapas: pertukaran oksigen dan karbon dioksida,"hidung, mulut, sinus, faring, laring, trakea, bronkus, paru-paru, dan diafragma."
1,Sistem pencernaan,"pencernaan: pemecahan dan penyerapan nutrisi, ekskresi limbah padat","gigi, lidah, kelenjar ludah, esofagus, lambung, hati, empedu, pankreas, usus halus, usus besar, rektum, anus"
2,Sistem peredaran darah,"mengedarkan darah untuk mengangkut nutrisi, limbah, hormon, O2, CO2, dan membantu menjaga pH dan suhu","darah, jantung, arteri, vena, kapiler"
3,Sistem perkemihan,"menjaga keseimbangan cairan dan elektrolit, memurnikan darah, dan mengekskresikan limbah cair (urin)","ginjal, ureter, kandung kemih, dan uretra"
4,Sistem integumen,perlindungan eksterior tubuh dan pengaturan suhu,"kulit, rambut, kelenjar eksokrin, lemak, dan kuku"
5,Sistem rangka,"mendukung dan melindungi struktur tubuh, produksi sel darah","tulang, kartilago, ligamen, dan tendon"
6,Sistem otot,"pergerakan tubuh, produksi panas","otot rangka, otot plos, dan otot jantung"
7,Sistem endokrin,komunikasi dalam tubuh menggunakan hormon yang dibuat oleh kelenjar endokrin,"hipotalamus, pituitari, kelenjar pineal, tiroid, paratiroid, adrenal, ovarium, testis"
8,Sistem limfatik,"mengembalikan cairan (getah bening) ke aliran darah, membantu respons imun, membentuk sel darah putih","limfa, kelenjar limfa, pembuluh limfa, amandel, limpa, timus"
9,Sistem saraf,"merasakan dan memproses informasi, mengendalikan aktivitas tubuh","otak, sumsum tulang belakang, saraf, organ sensorik (misalnya penglihatan, bau, rasa, pendengaran)"
10,Sistem reproduksi,alat kelamin yang terlibat dalam reproduksi,"ovarium, saluran tuba, rahim, vagina, kelenjar susu, penis, testis, vas deferens, vesikula seminalis, dan prostat"
