,"D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a","D a t a   i k l i m   S u r a k a r t a ,   J a w a   t e n g a h ,   I n d o n e s i a"
0,Rekor tertinggi °C (°F),31 (88),32 (90),32 (90),33 (91),32 (90),32 (90),32 (90),32 (90),34 (93),35 (95),35 (95),32 (90),35 (95)
1,Rata-rata tertinggi °C (°F),30.1 (86.2),30.2 (86.4),30.5 (86.9),31.4 (88.5),31.1 (88),31.1 (88),30.9 (87.6),31.6 (88.9),32.4 (90.3),32.9 (91.2),31.7 (89.1),30.9 (87.6),31.23 (88.23)
2,Rata-rata harian °C (°F),26.2 (79.2),26.3 (79.3),26.4 (79.5),26.9 (80.4),26.5 (79.7),25.9 (78.6),25.4 (77.7),25.7 (78.3),26.6 (79.9),27.4 (81.3),26.9 (80.4),26.6 (79.9),26.4 (79.52)
3,Rata-rata terendah °C (°F),22.3 (72.1),22.4 (72.3),22.3 (72.1),22.4 (72.3),21.9 (71.4),20.8 (69.4),20 (68),19.9 (67.8),20.9 (69.6),21.9 (71.4),22.2 (72),22.3 (72.1),21.61 (70.87)
4,Rekor terendah °C (°F),20 (68),20 (68),18 (64),20 (68),18 (64),16 (61),17 (63),16 (61),17 (63),18 (64),20 (68),20 (68),16 (61)
5,Presipitasi mm (inci),324 (12.76),319 (12.56),293 (11.54),224 (8.82),145 (5.71),86 (3.39),54 (2.13),42 (1.65),51 (2.01),120 (4.72),212 (8.35),260 (10.24),"2.130 (83,88)"
6,Rata-rata hari hujan,20,20,18,15,11,7,4,3,4,10,14,17,143
7,% kelembapan,82,82,81,78,77,74,74,71,69,73,77,82,76.7
8,Rata-rata sinar matahari bulanan,158,172,179,195,219,230,241,287,285,239,221,180,2.606
9,Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24],Sumber #1: Climate-Data.org[24]
10,Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26],Sumber #2: Weatherbase[25][26]
