,0,1
0,Akita Inu,
1,Husky Alaska,
2,Klee Kai Alaska,
3,Alaskan Malamute,
4,Anjing Eskimo Amerika,
5,,
6,Anjing Bac Ha,
7,Anjing ekor hmong,
8,Anjing Eskimo Kanada,
9,,
10,Anjing Chinese Foo,
11,Chinook,
12,Chow Chow,
13,Laika Siberia Timur,
14,Eurasier,
15,Lapphund Finlandia (Suomenlapinkoira),
16,Spitz Finlandia,
17,Spitz Jerman,
18,Anjing Greenland,
19,Guejae Gae,
20,Hokkaidō,
21,Anjing gembala Islandia,
22,Jamthund,
23,Spitz Jepang,
24,Kai Ken,
25,Anjing Beruang Karelia,
26,Keeshond,
27,Anjing Kintamani,
28,Kishu,
29,Anjing Jindo Korea,
30,Herder Lapponia (Lapinporokoira),
31,Husky Sungai Mackenzie,
32,Nenets Herding Laika,
33,Norbottenspets,
34,Northeasterly Hauling Laika,
35,Buhund Norwegia,
36,Elkhound Norwegia,
37,Lundehund Norwegia,
38,Papillon,
39,Phalène,
40,Pomeranian,
41,Pungsan,
42,Russo-European Laika,
43,Ryukyu Inu,
44,Sakhalin Husky,
45,Samoyed,
46,Sanshu,
47,Schipperke,
48,Seppala Siberian Sleddog,
49,Shar Pei,
50,Shiba Inu,
51,Shikoku Inu,
52,Siberian Husky,
53,Lapphund Swedia,
54,Vallhund Swedia,
55,Bangkaew,
56,Volpino Italiano,
57,Welsh Corgi (Pembroke),
58,Laika Siberia Barat,
59,Zerdava,
