,"D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0","D a t a   i k l i m   S t o c k h o l m ,   1 9 6 1 − 1 9 9 0"
0,Rekor tertinggi °C (°F),11.0 (51.8),12.2 (54),17.8 (64),26.1 (79),29.0 (84.2),32.2 (90),36.0 (96.8),35.4 (95.7),27.9 (82.2),20.2 (68.4),14.0 (57.2),12.2 (54),36.0 (96.8)
1,Rata-rata tertinggi °C (°F),−0.7 (30.7),−0.6 (30.9),3.0 (37.4),8.6 (47.5),15.7 (60.3),20.7 (69.3),21.9 (71.4),20.4 (68.7),15.1 (59.2),9.9 (49.8),4.5 (40.1),1.1 (34),10.0 (50)
2,Rata-rata harian °C (°F),−2.8 (27),−3.0 (26.6),0.1 (32.2),4.6 (40.3),10.7 (51.3),15.6 (60.1),17.2 (63),16.2 (61.2),11.9 (53.4),7.5 (45.5),2.6 (36.7),−1.0 (30.2),6.6 (43.9)
3,Rata-rata terendah °C (°F),−5 (23),−5.3 (22.5),−2.7 (27.1),1.1 (34),6.3 (43.3),11.3 (52.3),13.4 (56.1),12.7 (54.9),9.0 (48.2),5.3 (41.5),0.7 (33.3),−3.2 (26.2),3.6 (38.5)
4,Rekor terendah °C (°F),−32 (−26),−30 (−22),−25.5 (−13.9),−22.0 (−7.6),−6.5 (20.3),0.0 (32),4.3 (39.7),2.0 (35.6),−3.5 (25.7),−9.0 (15.8),−18 (0),−22.5 (−8.5),−32.0 (−25.6)
5,Presipitasi mm (inci),39 (1.54),27 (1.06),26 (1.02),30 (1.18),30 (1.18),45 (1.77),72 (2.83),66 (2.6),55 (2.17),50 (1.97),53 (2.09),46 (1.81),539 (21.22)
6,Rata-rata hari hujan atau bersalju (≥ 1.0 mm),10,7,7,7,7,7,10,10,10,9,11,10,105
7,Rata-rata sinar matahari bulanan,40,72,135,185,276,292,260,221,154,99,54,33,1.821
8,Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28],Sumber #1: NOAA[28]
9,Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29],Sumber #2: SMHI[29]
