,U r u t a n,"K o t a ,   P r o v i n s i",P o p u l a s i
0,1,"Makassar, Sulawesi Selatan",1.769.920 Jiwa (2018)
1,2,"Manado, Sulawesi Utara",469.910 Jiwa (2018)
2,3,"Palu, Sulawesi Tengah",372.113 jiwa (2021)
3,4,"Kendari, Sulawesi Tenggara",345.107 jiwa (2020)
4,5,"Gorontalo, Gorontalo",210.882 Jiwa (2018)
5,6,"Bitung, Sulawesi Utara",269.396 Jiwa (2015)
6,7,"Palopo, Sulawesi Selatan",168.830 Jiwa (2015)
7,8,"Baubau, Sulawesi Tenggara",167.519 Jiwa (2018)
8,9,"Parepare, Sulawesi Selatan",132.048 Jiwa (2012)
9,10,"Kotamobagu, Sulawesi Utara",116.194 Jiwa (2015)
