,N e g a r a,P o p u l a s i   S y i a h [ 3 5 ]
0,Afghanistan,3.000.000-4.000.000
1,Azerbaijan,5.000.000-7.000.000
2,Bahrain,400.000-500.000
3,Bulgaria,100.000
4,India,16.000.000-24.000.000
5,Irak,19.000.000-22.000.000
6,Iran,66.000.000-70.000.000
7,Jerman,400.000-600.000
8,Kuwait,500.000-700.000
9,Lebanon,1.000.000-2.000.000
10,Nigeria,<4.000.000
11,Oman,100.000-300.000
12,Pakistan,17.000.000-26.000.000
13,Qatar,100.000
14,Saudi Arabia,2.000.000-4.000.000
15,Suriah,3.000.000-4.000.000
16,Tajikistan,400.000
17,Tanzania,<2.000.000
18,Turki,7.000.000-11.000.000
19,Uni Emirat Arab,300.000-400.000
20,Amerika Serikat,200.000-400.000
21,Yaman,8.000.000-10.000.000
