,S t a s i u n,N a m a   d a l a m   b a h a s a   J e p a n g,D i s t r i k   ( k u ) a t a u   K o t a,J a r a k   ( k m ) d a r i   T o k y o,K o n e k s i   d e n g a n   j a l u r   l a i n
0,Tokyo,東京,"Chiyoda, Tokyo",0,"JR East: Tōhoku Shinkansen, Jōetsu Shinkansen, Nagano Shinkansen, Jalur Yamanote, Jalur Utama Chūō, Jalur Utama Sōbu, Jalur Keihin-Tōhoku, Jalur Utama Tōkaidō, Jalur Keiyō, Jalur Yokosuka Tokyo Metro: Jalur Marunouchi (M-17)"
1,Shinagawa,品川,"Minato, Tokyo",68,"JR East: Jalur Yamanote, Jalur Keihin-Tōhoku, Jalur Utama Tōkaidō, Jalur Yokosuka Keihin Electric Express Railway: Jalur Utama"
2,Shin-Yokohama,新横浜,"Kōhoku-ku, Yokohama",255,JR East: Jalur YokohamaYokohama Municipal Subway Jalur Biru (Jalur No. 3)
3,Odawara,小田原,"Odawara, Kanagawa",767,"JR East: Jalur Utama Tōkaidō, Jalur Shōnan-ShinjukuOdakyū Electric Railway: Jalur Odawara, Izu-Hakone Railway: Jalur Daiyuzan, Hakone Tozan Railway: Jalur Hakone Tozan"
4,Atami,熱海,"Atami, Shizuoka",954,"JR East: Jalur Utama Tōkaidō (arah Tokyo), Ito, JR Central: Jalur Utama Tōkaidō (arah Maibara)"
5,Mishima,三島,"Mishima, Shizuoka",1113,JR Central: Jalur Tōkaidō Izu-Hakone Railway: Jalur Sunzu
6,Shin-Fuji,新富士,"Fuji, Shizuoka",1350,(tidak ada)
7,Shizuoka,静岡,"Aoi-ku, Shizuoka",1674,JR Central: Jalur Utama Tōkaidō Shizuoka Railway: Shizuoka-Shimizu (Stasiun Shin-Shizuoka)
8,Kakegawa,掛川,"Kakegawa, Shizuoka",2113,JR Central: Jalur Utama Tōkaidō Tenryū-Hamanako Railway: Jalur Tenryū Hamanako
9,Hamamatsu,浜松,"Hamamatsu, Shizuoka",2389,JR Central: Jalur Utama Tōkaidō Enshu Railway: Jalur Enshu Railway (Stasiun Shin-Hamamatsu)
10,Toyohashi,豊橋,"Toyohashi, Aichi",2742,"JR Central: Jalur Utama Tōkaidō, Jalur Iida Nagoya Railroad (Meitetsu): Jalur Utama Nagoya, Toyohashi Railroad: Jalur Atsumi (Stasiun Shin-Toyohashi), Jalur Utama Azumada (trem, Stasiun Ekimae)"
11,Mikawa-Anjō,三河安城,"Anjō, Aichi",3128,JR Central: Jalur Utama Tōkaidō
12,Nagoya,名古屋,"Nakamura-ku, Nagoya",3420,"JR Central: Jalur Utama Tōkaidō, Jalur Utama Chūō, Jalur Utama Kansai, Jalur Utama Takayama Nagoya Subway: Jalur Higashiyama (H08), Jalur Sakura-dori (S02), Nagoya Railroad (Meitetsu): Jalur Utama Nagoya (Stasiun Meitetsu Nagoya), Kintetsu: Jalur Nagoya (Stasiun Kintetsu Nagoya), Nagoya Seaside Rapid Railway: Jalur Aonami (AN01)"
13,Gifu-Hashima,岐阜羽島,"Hashima, Gifu",3671,Nagoya Railroad (Meitetsu): Jalur Meitetsu Hashima (Stasiun Shin-Hashima)
14,Maibara,米原,"Maibara, Shiga",4082,"JR Central: Jalur Utama Tōkaidō (arah Atami), JR West: Jalur Biwako (bagian dari Jalur Utama Tōkaidō, arah Kyoto), Jalur Utama Hokuriku Ohmi Railway: Jalur Utama"
15,Kyoto,京都,"Shimogyo-ku, Kyoto",4763,"JR West: Jalur Biwako (arah Maibara), JR Kyoto (bagian dari Tōkaidō, arah Osaka) Jalur Sagano (bagian dari Jalur Utama San'in), Jalur Nara Kintetsu: Kyoto, Kyoto Municipal Subway: Jalur Karasuma (K11)"
16,Shin-Ōsaka,新大阪,"Yodogawa-ku, Osaka",5154,"JR West: Sanyō Shinkansen (langsung terus menuju Stasiun Hakata), Jalur JR Kyoto Osaka Municipal Subway: Jalur Midōsuji (M13)"
