,K a r a k t e r i s t i k,K a r a k t e r i s t i k . 1,M e r k u r i u s,V e n u s,B u m i,M a r s,J u p i t e r,S a t u r n u s,U r a n u s,N e p t u n u s
0,Jarak edaran (juta km) (SA),Jarak edaran (juta km) (SA),"57,91 (0,39)","108,21 (0,72)","149,60 (1,00)","227,94 (1,52)","778,41 (5,20)","1.426,72 (9,54)","2.870,97 (19,19)","4.498,25 (30,07)"
1,Jangka revolusi (tahun),Jangka revolusi (tahun),"0,24 (88 hari)","0,62 (224 hari)",100,188,1186,2945,8402,16479
2,Jangka rotasi,Jangka rotasi,"58,65 hari","243,02 hari",23 jam 56 menit,24 jam 37 menit,9 jam 55 menit,10 jam 47 menit,17 jam 14 menit,16 jam 7 menit
3,Eksentrisitas edaran,Eksentrisitas edaran,0206,0007,0017,0093,0048,0054,0047,0009
4,Inklinasi orbit terhadap ekliptika (°),Inklinasi orbit terhadap ekliptika (°),700,339,000,185,131,248,077,177
5,Inklinasi ekuator terhadap orbit (°),Inklinasi ekuator terhadap orbit (°),000,17736,2345,2519,312,2673,9786,2958
6,Diameter ekuator (km),Diameter ekuator (km),4.879,12.104,12.756,6.805,142.984,120.536,51.118,49.528
7,Massa (dibanding Bumi),Massa (dibanding Bumi),006,081,100,015,3178,952,145,171
8,Kepadatan rata-rata (g/cm³),Kepadatan rata-rata (g/cm³),543,524,552,393,133,069,127,164
9,Suhu permukaan,min.,-173 °C,+437 °C,-89 °C,-133 °C,-,-,-,-
10,Suhu permukaan,rata-rata,+167 °C,+464 °C,+15 °C,-55 °C,-108 °C,-139 °C,-197 °C,-201 °C
11,Suhu permukaan,maks.,+427 °C,+497 °C,+58 °C,+27 °C,-,-,-,-
